Target_Solar_Sign,T_Planet,Transit_House,Text_Theme,Base_Score,Category,Priority,Milestone_Label,Duration_Type,Advised_Task
CANCER,NEPTUNE,6,NEPTUNE house 6: Routine refinement,8,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
CANCER,NEPTUNE,7,NEPTUNE house 7: Partnership focus,14,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
CANCER,NEPTUNE,8,NEPTUNE house 8: Deep restructuring,6,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
CANCER,NEPTUNE,9,NEPTUNE house 9: Expansion and study,10,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
CANCER,NEPTUNE,10,NEPTUNE house 10: Career visibility,18,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
CANCER,NEPTUNE,11,NEPTUNE house 11: Community gains,10,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
CANCER,NEPTUNE,12,NEPTUNE house 12: Closure and preparation,-6,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
CANCER,PLUTO,1,PLUTO house 1: Identity reset,14,General,8,Identity reset,LONG,Put your own direction first.
CANCER,PLUTO,2,PLUTO house 2: Resource building,12,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
CANCER,PLUTO,3,PLUTO house 3: Learning and communication,8,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
CANCER,PLUTO,4,PLUTO house 4: Home foundation,10,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
CANCER,PLUTO,5,PLUTO house 5: Creative opening,14,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
CANCER,PLUTO,6,PLUTO house 6: Routine refinement,10,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
CANCER,PLUTO,7,PLUTO house 7: Partnership focus,16,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
CANCER,PLUTO,8,PLUTO house 8: Deep restructuring,8,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
CANCER,PLUTO,9,PLUTO house 9: Expansion and study,12,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
CANCER,PLUTO,10,PLUTO house 10: Career visibility,20,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
CANCER,PLUTO,11,PLUTO house 11: Community gains,12,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
CANCER,PLUTO,12,PLUTO house 12: Closure and preparation,-4,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
LEO,JUPITER,1,JUPITER house 1: Identity reset,22,General,8,Identity reset,LONG,Put your own direction first.
LEO,JUPITER,2,JUPITER house 2: Resource building,20,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
LEO,JUPITER,3,JUPITER house 3: Learning and communication,16,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
LEO,JUPITER,4,JUPITER house 4: Home foundation,18,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
LEO,JUPITER,5,JUPITER house 5: Creative opening,22,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
LEO,JUPITER,6,JUPITER house 6: Routine refinement,18,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
LEO,JUPITER,7,JUPITER house 7: Partnership focus,24,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
LEO,JUPITER,8,JUPITER house 8: Deep restructuring,16,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
LEO,JUPITER,9,JUPITER house 9: Expansion and study,20,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
LEO,JUPITER,10,JUPITER house 10: Career visibility,28,Work,10,Career visibility,LONG,Move public goals and responsibilities forward.
LEO,JUPITER,11,JUPITER house 11: Community gains,20,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
LEO,JUPITER,12,JUPITER house 12: Closure and preparation,4,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
LEO,SATURN,1,SATURN house 1: Identity reset,8,General,8,Identity reset,LONG,Put your own direction first.
LEO,SATURN,2,SATURN house 2: Resource building,6,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
LEO,SATURN,3,SATURN house 3: Learning and communication,2,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
LEO,SATURN,4,SATURN house 4: Home foundation,4,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
LEO,SATURN,5,SATURN house 5: Creative opening,8,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
LEO,SATURN,6,SATURN house 6: Routine refinement,4,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
LEO,SATURN,7,SATURN house 7: Partnership focus,10,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
LEO,SATURN,8,SATURN house 8: Deep restructuring,2,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
LEO,SATURN,9,SATURN house 9: Expansion and study,6,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
LEO,SATURN,10,SATURN house 10: Career visibility,14,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
LEO,SATURN,11,SATURN house 11: Community gains,6,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
LEO,SATURN,12,SATURN house 12: Closure and preparation,-10,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
LEO,URANUS,1,URANUS house 1: Identity reset,16,General,8,Identity reset,LONG,Put your own direction first.
LEO,URANUS,2,URANUS house 2: Resource building,14,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
LEO,URANUS,3,URANUS house 3: Learning and communication,10,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
LEO,URANUS,4,URANUS house 4: Home foundation,12,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
LEO,URANUS,5,URANUS house 5: Creative opening,16,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
LEO,URANUS,6,URANUS house 6: Routine refinement,12,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
LEO,URANUS,7,URANUS house 7: Partnership focus,18,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
LEO,URANUS,8,URANUS house 8: Deep restructuring,10,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
LEO,URANUS,9,URANUS house 9: Expansion and study,14,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
LEO,URANUS,10,URANUS house 10: Career visibility,22,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
LEO,URANUS,11,URANUS house 11: Community gains,14,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
LEO,URANUS,12,URANUS house 12: Closure and preparation,-2,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
LEO,NEPTUNE,1,NEPTUNE house 1: Identity reset,12,General,8,Identity reset,LONG,Put your own direction first.
LEO,NEPTUNE,2,NEPTUNE house 2: Resource building,10,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
LEO,NEPTUNE,3,NEPTUNE house 3: Learning and communication,6,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
LEO,NEPTUNE,4,NEPTUNE house 4: Home foundation,8,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
LEO,NEPTUNE,5,NEPTUNE house 5: Creative opening,12,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
LEO,NEPTUNE,6,NEPTUNE house 6: Routine refinement,8,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
LEO,NEPTUNE,7,NEPTUNE house 7: Partnership focus,14,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
LEO,NEPTUNE,8,NEPTUNE house 8: Deep restructuring,6,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
LEO,NEPTUNE,9,NEPTUNE house 9: Expansion and study,10,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
LEO,NEPTUNE,10,NEPTUNE house 10: Career visibility,18,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
LEO,NEPTUNE,11,NEPTUNE house 11: Community gains,10,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
LEO,NEPTUNE,12,NEPTUNE house 12: Closure and preparation,-6,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
LEO,PLUTO,1,PLUTO house 1: Identity reset,14,General,8,Identity reset,LONG,Put your own direction first.
LEO,PLUTO,2,PLUTO house 2: Resource building,12,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
LEO,PLUTO,3,PLUTO house 3: Learning and communication,8,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
LEO,PLUTO,4,PLUTO house 4: Home foundation,10,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
LEO,PLUTO,5,PLUTO house 5: Creative opening,14,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
LEO,PLUTO,6,PLUTO house 6: Routine refinement,10,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
LEO,PLUTO,7,PLUTO house 7: Partnership focus,16,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
LEO,PLUTO,8,PLUTO house 8: Deep restructuring,8,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
LEO,PLUTO,9,PLUTO house 9: Expansion and study,12,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
LEO,PLUTO,10,PLUTO house 10: Career visibility,20,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
LEO,PLUTO,11,PLUTO house 11: Community gains,12,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
LEO,PLUTO,12,PLUTO house 12: Closure and preparation,-4,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
VIRGO,JUPITER,1,JUPITER house 1: Identity reset,22,General,8,Identity reset,LONG,Put your own direction first.
VIRGO,JUPITER,2,JUPITER house 2: Resource building,20,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
VIRGO,JUPITER,3,JUPITER house 3: Learning and communication,16,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
VIRGO,JUPITER,4,JUPITER house 4: Home foundation,18,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
VIRGO,JUPITER,5,JUPITER house 5: Creative opening,22,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
VIRGO,JUPITER,6,JUPITER house 6: Routine refinement,18,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
VIRGO,JUPITER,7,JUPITER house 7: Partnership focus,24,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
VIRGO,JUPITER,8,JUPITER house 8: Deep restructuring,16,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
VIRGO,JUPITER,9,JUPITER house 9: Expansion and study,20,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
VIRGO,JUPITER,10,JUPITER house 10: Career visibility,28,Work,10,Career visibility,LONG,Move public goals and responsibilities forward.
VIRGO,JUPITER,11,JUPITER house 11: Community gains,20,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
VIRGO,JUPITER,12,JUPITER house 12: Closure and preparation,4,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
VIRGO,SATURN,1,SATURN house 1: Identity reset,8,General,8,Identity reset,LONG,Put your own direction first.
VIRGO,SATURN,2,SATURN house 2: Resource building,6,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
VIRGO,SATURN,3,SATURN house 3: Learning and communication,2,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
VIRGO,SATURN,4,SATURN house 4: Home foundation,4,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
VIRGO,SATURN,5,SATURN house 5: Creative opening,8,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
VIRGO,SATURN,6,SATURN house 6: Routine refinement,4,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
VIRGO,SATURN,7,SATURN house 7: Partnership focus,10,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
VIRGO,SATURN,8,SATURN house 8: Deep restructuring,2,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
VIRGO,SATURN,9,SATURN house 9: Expansion and study,6,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
VIRGO,SATURN,10,SATURN house 10: Career visibility,14,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
VIRGO,SATURN,11,SATURN house 11: Community gains,6,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
VIRGO,SATURN,12,SATURN house 12: Closure and preparation,-10,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
VIRGO,URANUS,1,URANUS house 1: Identity reset,16,General,8,Identity reset,LONG,Put your own direction first.
VIRGO,URANUS,2,URANUS house 2: Resource building,14,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
VIRGO,URANUS,3,URANUS house 3: Learning and communication,10,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
VIRGO,URANUS,4,URANUS house 4: Home foundation,12,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
VIRGO,URANUS,5,URANUS house 5: Creative opening,16,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
VIRGO,URANUS,6,URANUS house 6: Routine refinement,12,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
VIRGO,URANUS,7,URANUS house 7: Partnership focus,18,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
VIRGO,URANUS,8,URANUS house 8: Deep restructuring,10,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
VIRGO,URANUS,9,URANUS house 9: Expansion and study,14,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
VIRGO,URANUS,10,URANUS house 10: Career visibility,22,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
VIRGO,URANUS,11,URANUS house 11: Community gains,14,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
VIRGO,URANUS,12,URANUS house 12: Closure and preparation,-2,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
VIRGO,NEPTUNE,1,NEPTUNE house 1: Identity reset,12,General,8,Identity reset,LONG,Put your own direction first.
VIRGO,NEPTUNE,2,NEPTUNE house 2: Resource building,10,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
VIRGO,NEPTUNE,3,NEPTUNE house 3: Learning and communication,6,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
VIRGO,NEPTUNE,4,NEPTUNE house 4: Home foundation,8,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
VIRGO,NEPTUNE,5,NEPTUNE house 5: Creative opening,12,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
VIRGO,NEPTUNE,6,NEPTUNE house 6: Routine refinement,8,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
VIRGO,NEPTUNE,7,NEPTUNE house 7: Partnership focus,14,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
VIRGO,NEPTUNE,8,NEPTUNE house 8: Deep restructuring,6,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
VIRGO,NEPTUNE,9,NEPTUNE house 9: Expansion and study,10,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
VIRGO,NEPTUNE,10,NEPTUNE house 10: Career visibility,18,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
VIRGO,NEPTUNE,11,NEPTUNE house 11: Community gains,10,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
VIRGO,NEPTUNE,12,NEPTUNE house 12: Closure and preparation,-6,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
VIRGO,PLUTO,1,PLUTO house 1: Identity reset,14,General,8,Identity reset,LONG,Put your own direction first.
VIRGO,PLUTO,2,PLUTO house 2: Resource building,12,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
VIRGO,PLUTO,3,PLUTO house 3: Learning and communication,8,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
VIRGO,PLUTO,4,PLUTO house 4: Home foundation,10,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
VIRGO,PLUTO,5,PLUTO house 5: Creative opening,14,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
VIRGO,PLUTO,6,PLUTO house 6: Routine refinement,10,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
VIRGO,PLUTO,7,PLUTO house 7: Partnership focus,16,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
VIRGO,PLUTO,8,PLUTO house 8: Deep restructuring,8,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
VIRGO,PLUTO,9,PLUTO house 9: Expansion and study,12,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
VIRGO,PLUTO,10,PLUTO house 10: Career visibility,20,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
VIRGO,PLUTO,11,PLUTO house 11: Community gains,12,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
VIRGO,PLUTO,12,PLUTO house 12: Closure and preparation,-4,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
LIBRA,JUPITER,1,JUPITER house 1: Identity reset,22,General,8,Identity reset,LONG,Put your own direction first.
LIBRA,JUPITER,2,JUPITER house 2: Resource building,20,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
LIBRA,JUPITER,3,JUPITER house 3: Learning and communication,16,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
LIBRA,JUPITER,4,JUPITER house 4: Home foundation,18,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
LIBRA,JUPITER,5,JUPITER house 5: Creative opening,22,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
LIBRA,JUPITER,6,JUPITER house 6: Routine refinement,18,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
LIBRA,JUPITER,7,JUPITER house 7: Partnership focus,24,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
LIBRA,JUPITER,8,JUPITER house 8: Deep restructuring,16,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
LIBRA,JUPITER,9,JUPITER house 9: Expansion and study,20,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
LIBRA,JUPITER,10,JUPITER house 10: Career visibility,28,Work,10,Career visibility,LONG,Move public goals and responsibilities forward.
LIBRA,JUPITER,11,JUPITER house 11: Community gains,20,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
LIBRA,JUPITER,12,JUPITER house 12: Closure and preparation,4,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
LIBRA,SATURN,1,SATURN house 1: Identity reset,8,General,8,Identity reset,LONG,Put your own direction first.
LIBRA,SATURN,2,SATURN house 2: Resource building,6,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
LIBRA,SATURN,3,SATURN house 3: Learning and communication,2,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
LIBRA,SATURN,4,SATURN house 4: Home foundation,4,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
LIBRA,SATURN,5,SATURN house 5: Creative opening,8,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
LIBRA,SATURN,6,SATURN house 6: Routine refinement,4,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
LIBRA,SATURN,7,SATURN house 7: Partnership focus,10,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
LIBRA,SATURN,8,SATURN house 8: Deep restructuring,2,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
LIBRA,SATURN,9,SATURN house 9: Expansion and study,6,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
LIBRA,SATURN,10,SATURN house 10: Career visibility,14,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
LIBRA,SATURN,11,SATURN house 11: Community gains,6,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
LIBRA,SATURN,12,SATURN house 12: Closure and preparation,-10,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
LIBRA,URANUS,1,URANUS house 1: Identity reset,16,General,8,Identity reset,LONG,Put your own direction first.
LIBRA,URANUS,2,URANUS house 2: Resource building,14,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
LIBRA,URANUS,3,URANUS house 3: Learning and communication,10,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
LIBRA,URANUS,4,URANUS house 4: Home foundation,12,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
LIBRA,URANUS,5,URANUS house 5: Creative opening,16,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
LIBRA,URANUS,6,URANUS house 6: Routine refinement,12,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
LIBRA,URANUS,7,URANUS house 7: Partnership focus,18,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
LIBRA,URANUS,8,URANUS house 8: Deep restructuring,10,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
LIBRA,URANUS,9,URANUS house 9: Expansion and study,14,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
LIBRA,URANUS,10,URANUS house 10: Career visibility,22,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
LIBRA,URANUS,11,URANUS house 11: Community gains,14,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
LIBRA,URANUS,12,URANUS house 12: Closure and preparation,-2,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
LIBRA,NEPTUNE,1,NEPTUNE house 1: Identity reset,12,General,8,Identity reset,LONG,Put your own direction first.
LIBRA,NEPTUNE,2,NEPTUNE house 2: Resource building,10,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
LIBRA,NEPTUNE,3,NEPTUNE house 3: Learning and communication,6,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
LIBRA,NEPTUNE,4,NEPTUNE house 4: Home foundation,8,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
LIBRA,NEPTUNE,5,NEPTUNE house 5: Creative opening,12,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
LIBRA,NEPTUNE,6,NEPTUNE house 6: Routine refinement,8,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
LIBRA,NEPTUNE,7,NEPTUNE house 7: Partnership focus,14,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
LIBRA,NEPTUNE,8,NEPTUNE house 8: Deep restructuring,6,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
LIBRA,NEPTUNE,9,NEPTUNE house 9: Expansion and study,10,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
LIBRA,NEPTUNE,10,NEPTUNE house 10: Career visibility,18,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
LIBRA,NEPTUNE,11,NEPTUNE house 11: Community gains,10,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
LIBRA,NEPTUNE,12,NEPTUNE house 12: Closure and preparation,-6,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
LIBRA,PLUTO,1,PLUTO house 1: Identity reset,14,General,8,Identity reset,LONG,Put your own direction first.
LIBRA,PLUTO,2,PLUTO house 2: Resource building,12,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
LIBRA,PLUTO,3,PLUTO house 3: Learning and communication,8,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
LIBRA,PLUTO,4,PLUTO house 4: Home foundation,10,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
LIBRA,PLUTO,5,PLUTO house 5: Creative opening,14,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
LIBRA,PLUTO,6,PLUTO house 6: Routine refinement,10,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
LIBRA,PLUTO,7,PLUTO house 7: Partnership focus,16,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
LIBRA,PLUTO,8,PLUTO house 8: Deep restructuring,8,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
LIBRA,PLUTO,9,PLUTO house 9: Expansion and study,12,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
LIBRA,PLUTO,10,PLUTO house 10: Career visibility,20,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
LIBRA,PLUTO,11,PLUTO house 11: Community gains,12,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
LIBRA,PLUTO,12,PLUTO house 12: Closure and preparation,-4,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
SCORPIO,JUPITER,1,JUPITER house 1: Identity reset,22,General,8,Identity reset,LONG,Put your own direction first.
SCORPIO,JUPITER,2,JUPITER house 2: Resource building,20,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
SCORPIO,JUPITER,3,JUPITER house 3: Learning and communication,16,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
SCORPIO,JUPITER,4,JUPITER house 4: Home foundation,18,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
SCORPIO,JUPITER,5,JUPITER house 5: Creative opening,22,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
SCORPIO,JUPITER,6,JUPITER house 6: Routine refinement,18,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
SCORPIO,JUPITER,7,JUPITER house 7: Partnership focus,24,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
SCORPIO,JUPITER,8,JUPITER house 8: Deep restructuring,16,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
SCORPIO,JUPITER,9,JUPITER house 9: Expansion and study,20,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
SCORPIO,JUPITER,10,JUPITER house 10: Career visibility,28,Work,10,Career visibility,LONG,Move public goals and responsibilities forward.
SCORPIO,JUPITER,11,JUPITER house 11: Community gains,20,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
SCORPIO,JUPITER,12,JUPITER house 12: Closure and preparation,4,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
SCORPIO,SATURN,1,SATURN house 1: Identity reset,8,General,8,Identity reset,LONG,Put your own direction first.
SCORPIO,SATURN,2,SATURN house 2: Resource building,6,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
SCORPIO,SATURN,3,SATURN house 3: Learning and communication,2,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
SCORPIO,SATURN,4,SATURN house 4: Home foundation,4,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
SCORPIO,SATURN,5,SATURN house 5: Creative opening,8,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
SCORPIO,SATURN,6,SATURN house 6: Routine refinement,4,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
SCORPIO,SATURN,7,SATURN house 7: Partnership focus,10,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
SCORPIO,SATURN,8,SATURN house 8: Deep restructuring,2,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
SCORPIO,SATURN,9,SATURN house 9: Expansion and study,6,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
SCORPIO,SATURN,10,SATURN house 10: Career visibility,14,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
SCORPIO,SATURN,11,SATURN house 11: Community gains,6,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
