ヘッド星座,ヘッドハウス,テール星座,テールハウス,要約,解釈文,注意点,伸ばすテーマ,成長のコツ,仕事での出方,対人での出方,優先度,タグ
Sagittarius,7,Gemini,1,知識独立から思想関係へ向かう軸,個人的知識だけでなく思想を共有する関係を築くことが課題です,個人的知識固着,思想共有,知識と関係を統合する,教育出版分野活躍,思想関係,100,成長軸|対人|思想
Sagittarius,8,Gemini,2,知識価値から哲学共有へ向かう軸,知識価値を超え哲学共有を学ぶことがテーマです,知識価値固着,哲学共有,価値と思想を統合する,研究宗教分野活躍,深い精神関係,98,成長軸|共有|哲学
Sagittarius,9,Gemini,3,知識理解から世界探求へ向かう軸,身近な知識理解を超え世界探求を行うことが人生テーマです,身近知識,世界探求,知識と冒険を統合する,研究教育分野活躍,思想関係,100,成長軸|探求|哲学
Sagittarius,10,Gemini,4,家庭知識から理想社会へ向かう軸,家庭的知識を社会理想へ広げることが課題です,家庭知識固着,社会理想,家庭と社会理想の統合,政治教育分野活躍,社会信頼関係,100,成長軸|社会|理想
Sagittarius,11,Gemini,5,知識創造から未来理想へ向かう軸,知識創造を社会理想へ広げることがテーマです,知識中心創造,未来理想,創造と理想の統合,社会活動分野活躍,仲間関係,96,成長軸|理想|未来
Sagittarius,12,Gemini,6,知識実務から精神探求へ向かう軸,日常知識に留まらず精神探求を深めることが人生課題です,日常知識固着,精神探求,実務と精神を統合する,宗教哲学分野活躍,精神関係,95,成長軸|精神|探求
Capricorn,1,Cancer,7,感情依存から責任ある自己形成へ向かう軸,他者の感情に引きずられすぎる傾向を手放し責任ある自己形成を行うことが人生テーマです,感情依存,責任ある自己形成,感情と責任を統合する,管理職や経営分野で活躍,信頼関係を築く,100,成長軸|責任|自立
Capricorn,2,Cancer,8,感情共有から現実価値へ向かう軸,感情的共有に頼りすぎず現実的な価値や資産を築くことが重要です,感情依存的共有,現実価値形成,共感と現実を統合する,金融管理分野活躍,安定関係,98,成長軸|価値|努力
Capricorn,3,Cancer,9,感情思想から現実知識へ向かう軸,感情中心の思想から現実的知識と理解を育てることがテーマです,感情思想,現実知識,感情と理性の統合,教育研究分野活躍,理性的関係,96,成長軸|知識|現実
Capricorn,4,Cancer,10,家庭感情から社会責任へ向かう軸,家庭的感情に留まらず社会的責任を果たすことが人生課題です,家庭依存,社会責任,家庭と社会を統合する,政治管理分野活躍,尊敬関係,100,成長軸|社会|責任
Capricorn,5,Cancer,11,感情的喜びから努力創造へ向かう軸,感情的楽しみに流されず努力による創造を育てることが重要です,感情的快楽,努力創造,楽しみと努力を統合する,芸術教育分野活躍,堅実恋愛,96,成長軸|創造|努力
Capricorn,6,Cancer,12,感情逃避から責任労働へ向かう軸,感情的逃避を手放し責任ある働き方を行うことが人生テーマです,感情逃避,責任労働,精神と実務の統合,専門職分野活躍,信頼関係,100,成長軸|仕事|責任
Capricorn,7,Cancer,1,自己感情から責任関係へ向かう軸,感情優先の自己表現を手放し責任ある関係を築くことが課題です,感情優先,責任関係,自立と共感の統合,共同事業成功,長期関係,100,成長軸|対人|責任
Capricorn,8,Cancer,2,感情価値から構造共有へ向かう軸,感情中心の価値観から社会的構造理解へ進むことがテーマです,感情価値,構造共有,感情と構造の統合,金融研究分野活躍,深い信頼関係,98,成長軸|共有|構造
Capricorn,9,Cancer,3,感情理解から現実思想へ向かう軸,感情理解に偏らず現実思想を育てることが重要です,感情理解中心,現実思想,理性と共感を統合する,教育政策分野活躍,思想関係,96,成長軸|思想|現実
Capricorn,10,Cancer,4,家庭感情から社会成功へ向かう軸,家庭感情に縛られず社会的成功を築くことが人生テーマです,家庭感情依存,社会成功,家庭と社会成功の統合,経営政治分野活躍,尊敬関係,100,成長軸|社会|成功
Capricorn,11,Cancer,5,感情創造から組織理想へ向かう軸,個人的感情表現を社会的理想へ広げることが課題です,感情創造中心,組織理想,創造と社会を統合する,団体活動活躍,仲間関係,96,成長軸|理想|組織
Capricorn,12,Cancer,6,感情混乱から精神成熟へ向かう軸,感情混乱を整理し精神的成熟を育てることがテーマです,感情混乱,精神成熟,精神と実務の統合,研究精神分野活躍,静かな関係,95,成長軸|精神|成熟
Aquarius,1,Leo,7,自己誇りから独自性へ向かう軸,自己中心的誇りを手放し独自性を社会へ活かすことが人生テーマです,自己中心誇り,独自性発揮,個性と社会性を統合する,IT研究分野活躍,自由関係,100,成長軸|個性|革新
Aquarius,2,Leo,8,誇り価値から未来価値へ向かう軸,自己誇り中心の価値観を手放し未来志向の価値観を育てることが重要です,誇り中心価値,未来価値,個人と社会価値を統合する,IT金融分野活躍,自由関係,98,成長軸|価値|未来
Aquarius,3,Leo,9,誇り思想から革新知識へ向かう軸,個人的信念だけでなく革新的知識を広げることがテーマです,誇り思想,革新知識,信念と知識の統合,研究教育分野活躍,知的関係,96,成長軸|知識|革新
Aquarius,4,Leo,10,家庭誇りから社会改革へ向かう軸,家庭中心の誇りを手放し社会改革へ関わることが課題です,家庭誇り,社会改革,家庭と社会を統合する,社会運動分野活躍,信頼関係,100,成長軸|社会|改革
Aquarius,5,Leo,11,自己創造から革新創造へ向かう軸,個人創造に留まらず社会革新へ創造を広げることがテーマです,個人創造中心,革新創造,創造と未来を統合する,芸術IT分野活躍,自由恋愛,96,成長軸|創造|革新
Aquarius,6,Leo,12,誇り労働から改革仕事へ向かう軸,誇りだけで働くのではなく社会改革を意識した働き方を学ぶことが重要です,誇り中心労働,改革仕事,誇りと社会意識を統合する,IT技術分野活躍,協働関係,100,成長軸|仕事|改革
Aquarius,7,Leo,1,自己誇りから自由関係へ向かう軸,自分中心の誇りを手放し自由で対等な関係を築くことが人生課題です,自己誇り中心,自由関係,個性と関係の統合,共同事業成功,自由関係,100,成長軸|対人|自由
Aquarius,8,Leo,2,誇り価値から社会共有へ向かう軸,個人的価値観から社会共有価値へ進むことがテーマです,個人価値中心,社会共有,価値と社会を統合する,研究社会分野活躍,深い信頼関係,98,成長軸|共有|社会
Aquarius,9,Leo,3,誇り知識から未来思想へ向かう軸,自己中心知識から未来志向思想へ進むことが重要です,誇り知識,未来思想,知識と未来を統合する,教育研究分野活躍,知的関係,96,成長軸|思想|未来
Aquarius,10,Leo,4,家庭誇りから社会改革へ向かう軸,家庭誇りを超え社会改革を担う役割を持つことがテーマです,家庭誇り中心,社会改革,家庭と社会役割を統合する,政治社会分野活躍,社会関係,100,成長軸|社会|改革
Aquarius,11,Leo,5,自己創造から未来理想へ向かう軸,自己表現を未来志向の理想へ広げることが課題です,個人創造,未来理想,創造と理想を統合する,社会活動分野活躍,仲間関係,96,成長軸|理想|未来
Aquarius,12,Leo,6,誇り実務から精神自由へ向かう軸,誇りある働き方から精神的自由を学ぶことが重要です,誇り実務,精神自由,実務と精神を統合する,芸術研究分野活躍,精神関係,95,成長軸|精神|自由
Pisces,1,Virgo,7,批判関係から共感自己へ向かう軸,相手を分析しすぎる癖を手放し共感的自己表現を育てることがテーマです,批判的関係,共感自己表現,理性と共感を統合する,芸術癒し分野活躍,共感関係,100,成長軸|共感|精神
Pisces,2,Virgo,8,分析価値から精神価値へ向かう軸,現実分析に偏らず精神的価値を育てることが重要です,分析価値中心,精神価値,現実と精神を統合する,芸術分野活躍,共感関係,98,成長軸|価値|精神
Pisces,3,Virgo,9,分析知識から感性理解へ向かう軸,論理分析だけでなく感性理解を育てることがテーマです,分析思考,感性理解,理性と感性を統合する,教育芸術分野活躍,優しい関係,96,成長軸|感性|理解
Pisces,4,Virgo,10,整理家庭から癒し家庭へ向かう軸,生活整理に偏らず癒しの家庭を育てることが人生課題です,生活整理中心,癒し家庭,整理と癒しを統合する,福祉教育分野活躍,温かい家庭関係,96,成長軸|家庭|癒し
Pisces,5,Virgo,11,分析創造から幻想創造へ向かう軸,分析的創造を超え感性豊かな創造を育てることがテーマです,分析創造,幻想創造,理性と芸術を統合する,芸術分野活躍,ロマン関係,100,成長軸|創造|芸術
Pisces,6,Virgo,12,整理労働から奉仕癒しへ向かう軸,仕事の整理だけでなく共感的奉仕を学ぶことが重要です,整理中心労働,共感奉仕,実務と共感を統合する,医療福祉分野活躍,支援関係,100,成長軸|仕事|奉仕
Pisces,7,Virgo,1,分析自己から共感関係へ向かう軸,自己分析に偏らず共感的関係を築くことがテーマです,自己分析中心,共感関係,理性と共感を統合する,カウンセリング分野活躍,深い関係,100,成長軸|対人|共感
Pisces,8,Virgo,2,分析価値から精神共有へ向かう軸,物質価値分析を超え精神的共有を学ぶことが課題です,物質分析価値,精神共有,価値と精神を統合する,心理研究分野活躍,深い関係,98,成長軸|共有|精神
Pisces,9,Virgo,3,分析知識から精神探求へ向かう軸,知識分析に留まらず精神探求を深めることが人生テーマです,分析知識,精神探求,知識と精神を統合する,宗教哲学分野活躍,精神関係,100,成長軸|探求|精神
Pisces,10,Virgo,4,家庭整理から共感社会へ向かう軸,家庭整理に留まらず共感を社会へ広げることが重要です,家庭整理中心,共感社会,家庭と社会を統合する,福祉医療分野活躍,信頼関係,100,成長軸|社会|共感
Pisces,11,Virgo,5,分析創造から理想共感へ向かう軸,分析的創造を超え共感的理想を広げることがテーマです,分析創造,共感理想,理性と理想を統合する,社会活動分野活躍,仲間関係,96,成長軸|理想|共感
Pisces,12,Virgo,6,整理実務から精神統合へ向かう軸,実務整理に偏らず精神統合を育てることが人生課題です,実務整理中心,精神統合,現実と精神を統合する,ヒーリング研究分野活躍,精神関係,95,成長軸|精神|統合
