Template_ID,Year_ID,Planet,Transition_Type,Natal_House_From,Natal_House_To,Transition_Timing_Key,Transition_Paragraph,Active_Flag
2026_TRANS_URANUS_H03_TO_H04,2026,URANUS,ingress,3,4,URANUS:cusp_cross:H04,天王星は年初、第3ハウスに位置していますが、{uranus_ingress_timing}には境界線を越えて第4ハウスへと歩みを進めます。前半に得た多彩な情報やコミュニケーションの工夫を活かし、後半からは住まいや家庭環境のスマートな改善へと重点が移ります。暮らしの空間をより自由で快適なものへと刷新することで、心身のゆとりと日々の活力が大きく高まるでしょう。,1
2026_TRANS_URANUS_H04_TO_H05,2026,URANUS,ingress,4,5,URANUS:cusp_cross:H05,天王星は年初、第4ハウスに位置していますが、{uranus_ingress_timing}には境界線を越えて第5ハウスへと歩みを進めます。前半に私生活の基盤や居場所を整えることで、後半からは独自の自己表現やクリエイティブな趣味、新しい挑戦へと意欲が一気に解き放たれます。枠にはまらない自由な発想を伸び伸びと形にすることで、日常に大きな喜びと輝きが満ちていきます。,1
2026_TRANS_URANUS_H05_TO_H06,2026,URANUS,ingress,5,6,URANUS:cusp_cross:H06,天王星は年初、第5ハウスに位置していますが、{uranus_ingress_timing}には境界線を越えて第6ハウスへと歩みを進めます。前半に存分に発揮した独創的なアイデアを、後半からは日々の実務や働き方の改善、生活習慣の刷新へと着実に落とし込んでいく流れとなります。最新のやり方を取り入れて作業を効率化することで、無理のない快適な業務リズムが確立されます。,1
2026_TRANS_URANUS_H06_TO_H07,2026,URANUS,ingress,6,7,URANUS:cusp_cross:H07,天王星は年初、第6ハウスに位置していますが、{uranus_ingress_timing}には境界線を越えて第7ハウスへと歩みを進めます。前半に働き方や生活の仕組みをスマートに整えた上で、後半からは新鮮で刺激的な対人関係やパートナーシップの開拓へと舞台が広がります。お互いの自立と自由を尊重し合える風通しの良い関係を結ぶことで、人生の視野が大きく広がります。,1
2026_TRANS_URANUS_H07_TO_H08,2026,URANUS,ingress,7,8,URANUS:cusp_cross:H08,天王星は年初、第7ハウスに位置していますが、{uranus_ingress_timing}には境界線を越えて第8ハウスへと歩みを進めます。前半に対人面での新しい風を取り入れた上で、後半からは特定の大切な相手との深い結びつきや、共有資源の柔軟な運用へと関係が進化します。古いこだわりを手放し、互いに知恵を出し合って助け合うことで、より自由で強固な絆が築かれます。,1
2026_TRANS_URANUS_H08_TO_H09,2026,URANUS,ingress,8,9,URANUS:cusp_cross:H09,天王星は年初、第8ハウスに位置していますが、{uranus_ingress_timing}には境界線を越えて第9ハウスへと歩みを進めます。前半に心理的なしがらみや古いルールを手放すことで、後半からは未知の専門分野や高度な学び、先進的な思想へと意識が大きく解き放たれます。常識にとらわれない自由な探求心を持つことが、未来の進路を切り拓く確かな指針となるでしょう。,1
2026_TRANS_URANUS_H09_TO_H10,2026,URANUS,ingress,9,10,URANUS:cusp_cross:H10,天王星は年初、第9ハウスに位置していますが、{uranus_ingress_timing}には境界線を越えて第10ハウスへと歩みを進めます。前半に培った先進的な知見や専門性を武器として、後半からはキャリアの刷新や型破りな社会的役割への挑戦へと舞台が移ります。時代の先を見据えた独自の提案を行うことで、周囲からの評価が一新され、活躍の場が大きく拓けます。,1
2026_TRANS_URANUS_H10_TO_H11,2026,URANUS,ingress,10,11,URANUS:cusp_cross:H11,天王星は年初、第10ハウスに位置していますが、{uranus_ingress_timing}には境界線を越えて第11ハウスへと歩みを進めます。前半に社会的な立場や独自の強みを確立した上で、後半からは未来志向の仲間たちとのネットワークやコミュニティ活動へと関心が広がります。肩書きを越えてフラットに意見を交わし合える仲間と共に、新しい時代を創る挑戦が始まります。,1
2026_TRANS_URANUS_H11_TO_H12,2026,URANUS,ingress,11,12,URANUS:cusp_cross:H12,天王星は年初、第11ハウスに位置していますが、{uranus_ingress_timing}には境界線を越えて第12ハウスへと歩みを進めます。前半に仲間との活動を広げた上で、後半からは一転して内省を深め、心の中の固定観念を静かに手放す時間へと移ります。静けさの中で研ぎ澄まされた直感を受け取ることで、次の新たな変革へ向けた内なる準備が整っていきます。,1
2026_TRANS_URANUS_H12_TO_H01,2026,URANUS,ingress,12,1,URANUS:cusp_cross:H01,天王星は年初、第12ハウスに位置していますが、{uranus_ingress_timing}には境界線を越えて第1ハウスへと歩みを進めます。前半に内面の浄化と準備をじっくり進めることで、後半からは自分自身のあり方を根本から刷新する大きな変革期が幕を開けます。古い殻を脱ぎ捨てて自らの個性を堂々と打ち出し、自由で新しい人生の歩みを始めることができるでしょう。,1
