sign,house,count_min,theme_id,label,summary,main_text,work_text,relationship_text,caution_text,tags
Capricorn,4,3,capricorn_4h_stellium_responsible_base,責任ある基盤形成の集中,家庭や内面の基盤を堅実に整え維持する力が強く出やすい集中配置です。,安心よりもまず現実を整えることが人生の土台になりやすいです。,仕事では家業運営不動産管理総務経理長期維持業務で力を発揮しやすいでしょう。,対人面では頼られる存在になりやすい一方で弱音を見せにくいです。,感情を抑え込みすぎると孤独感や硬さにつながりやすいです。,stellium;Capricorn;4house;home;responsibility;foundation
Capricorn,8,3,capricorn_8h_stellium_controlled_depth,管理された深さの集中,共有や危機的領域において責任感と統制力が強く働きやすい集中配置です。,混乱の中でも秩序を作り直すことが人生テーマになりやすいです。,仕事では財務管理危機対応保険法務再建監査で力を発揮しやすいでしょう。,対人面では簡単には心を開かず慎重に信頼を築きやすいです。,支配や防衛が強まると関係が冷えやすくなります。,stellium;Capricorn;8house;control;shared;discipline
Aquarius,4,3,aquarius_4h_stellium_independent_base,独立性ある基盤づくりの集中,家庭や私的領域において独立性や独自性が強く表れやすい集中配置です。,一般的な形に縛られず自分なりの居場所を作ることが人生テーマになりやすいです。,仕事では制度改善IT運営研究在宅企画支援で力を発揮しやすいでしょう。,対人面では程よい距離感と自由さが心地よさにつながることがあります。,距離を取りすぎると情緒的な孤立につながりやすいです。,stellium;Aquarius;4house;home;independence;innovation
Aquarius,6,3,aquarius_6h_stellium_system_work,仕組み改善と合理的実務の集中,日常や仕事の場で合理化や仕組み改善の力が強く出やすい集中配置です。,個人の根性よりも仕組みで回す発想が人生の中心テーマになりやすいです。,仕事ではIT改善分析運用設計制度構築チーム改善で力を発揮しやすいでしょう。,対人面ではフラットで公平な接し方が信頼につながりやすいです。,理屈が先行しすぎると人の感情を置き去りにしやすいです。,stellium;Aquarius;6house;work;system;innovation
Aquarius,8,3,aquarius_8h_stellium_unconventional_depth,独自の深い結びつきの集中,深い領域や共有の場で独自の価値観や距離感が強く表れやすい集中配置です。,一般的な親密さの形に収まらず自分なりの深い関わり方を模索しやすいです。,仕事では研究開発データ分析制度改革危機対応で力を発揮しやすいでしょう。,対人面では独特の近さと距離感のバランスが印象に残りやすいです。,理性で処理しすぎると深い感情共有が難しくなりやすいです。,stellium;Aquarius;8house;depth;independence;shared
Pisces,1,3,pisces_1h_stellium_receptive_self,受容的な自己像の集中,柔らかさ共感性直感が人格全体に強くにじみやすい集中配置です。,感じ取る力を通して自然に人生の流れをつかみやすいです。,仕事では支援芸術福祉癒し接客裏方業務で力を発揮しやすいでしょう。,対人面では優しさと受容性が大きな魅力になります。,境界が曖昧だと周囲の影響を受けすぎて不安定になりやすいです。,stellium;Pisces;1house;receptivity;self;empathy
Pisces,4,3,pisces_4h_stellium_soft_base,やわらかな安心基盤の集中,内面や私的領域に繊細さと癒しの力が強く流れやすい集中配置です。,安心できる場所や心の避難所を作ることが人生の土台になりやすいです。,仕事では福祉医療支援芸術住環境ケア分野で力を発揮しやすいでしょう。,対人面では包み込むような優しさが魅力になります。,現実逃避や曖昧さが強まると生活基盤が不安定になりやすいです。,stellium;Pisces;4house;home;healing;security
Pisces,7,3,pisces_7h_stellium_merging_relation,溶け合う関係性の集中,対人関係において共感や一体感が強く出やすい集中配置です。,人との境界を越えて深く理解し合うことが人生テーマになりやすいです。,仕事では対人支援相談接客福祉芸術共同作業で力を発揮しやすいでしょう。,対人面では優しさと共感力が強く相手を癒しやすいです。,境界が曖昧になると依存や巻き込まれにつながりやすいです。,stellium;Pisces;7house;relationship;empathy;merging
Pisces,10,3,pisces_10h_stellium_compassion_role,共感的な社会的役割の集中,社会の中で癒し受容支援の力を役割として発揮しやすい集中配置です。,成果だけでなく人の心や空気を扱うことが人生の仕事になりやすいです。,仕事では医療福祉芸術支援カウンセリング接客分野で力を発揮しやすいでしょう。,対人面では柔らかい包容力が信頼につながりやすいです。,現実との境界が曖昧だと仕事での消耗や混乱につながりやすいです。,stellium;Pisces;10house;career;compassion;service
Pisces,11,3,pisces_11h_stellium_collective_empathy,共感的ネットワークの集中,仲間や共同体の中で共感や癒しの役割を果たしやすい集中配置です。,人をつなぎ優しく包みながら共同体に意味を与えることが人生テーマになりやすいです。,仕事ではコミュニティ支援福祉芸術企画協働分野で力を発揮しやすいでしょう。,対人面では誰も排除しない柔らかさが魅力になります。,境界が薄すぎると集団の感情に飲まれやすくなります。,stellium;Pisces;11house;community;empathy;healing
Aries,1,4,aries_1h_stellium_initiative_strong,自己始動と突破の超集中,自分で始め自分で切り開く力が人格全体の中心軸になりやすい強い集中配置です。,待つより先に動くことが人生そのものを切り開く鍵になりやすく自力で道を作る傾向が非常に強まります。,仕事では新規立ち上げ開拓推進意思決定の場で圧倒的な初動力を発揮しやすいでしょう。,対人面では率直さと勢いが強い魅力になりますが主導権争いも起きやすくなります。,衝動性と短気さが強まると周囲との摩擦や判断ミスが増えやすくなります。,stellium;Aries;1house;initiative;action;self;strong
Taurus,2,4,taurus_2h_stellium_value_strong,価値構築と安定の超集中,自分の価値資源生活基盤を築くことが人生の最重要テーマになりやすい強い集中配置です。,安心できる基盤を自分の手で固めながら人生全体を安定化させていく流れが非常に強まります。,仕事では資産形成経理品質維持制作管理継続運用で大きな成果を出しやすいでしょう。,対人面では誠実さと安定感が安心できる関係づくりにつながりやすいです。,守りが固くなりすぎると変化の波に乗れず停滞しやすくなります。,stellium;Taurus;2house;value;stability;resources;strong
Gemini,3,4,gemini_3h_stellium_information_strong,情報循環と学習の超集中,知識情報発信コミュニケーションが人生の中核機能になりやすい強い集中配置です。,学びながら伝え伝えながら広げることが人生の推進力として非常に強く働きやすいです。,仕事では編集教育営業広報企画連携メディア分野で大量の情報を扱う力を発揮しやすいでしょう。,対人面では会話力理解力柔軟性が大きな魅力になります。,情報過多や関心の拡散により軸の弱さや継続不足が出やすくなります。,stellium;Gemini;3house;information;learning;communication;strong
Cancer,4,4,cancer_4h_stellium_nurture_strong,安心基盤と養育の超集中,心の安心や居場所づくりが人生の土台そのものになりやすい強い集中配置です。,守ること育てること支えることが人生の中心軸として非常に強く流れやすいです。,仕事では教育福祉支援家業運営接客管理など安心を支える分野で力を発揮しやすいでしょう。,対人面では深い愛着と保護本能が強く家族的なつながりを作りやすいです。,身内意識や感情防衛が強まりすぎると閉鎖性と依存が強くなりやすいです。,stellium;Cancer;4house;home;nurture;security;strong
Leo,5,4,leo_5h_stellium_creativity_strong,自己表現と創造性の超集中,自分らしさを見せ創り出すことが人生の中心使命になりやすい強い集中配置です。,表現すること楽しむこと誇りを持って存在することが人生の活力源として非常に強く働きます。,仕事では企画演出教育発信エンタメ表現活動の分野で大きく力を発揮しやすいでしょう。,対人面では華やかさ温かさドラマ性が強い魅力になります。,承認欲求やプライドが過剰になると評価に振り回されやすくなります。,stellium;Leo;5house;creativity;expression;joy;strong
Virgo,6,4,virgo_6h_stellium_work_service_strong,実務改善と奉仕の超集中,実務改善奉仕を通じて自分の価値を形にすることが人生の主軸そのものになりやすい強い集中配置です。,細部を整え役立つ形へ仕上げ続けることが人生全体の使命として非常に強く現れやすいです。,仕事では分析改善品質管理実務最適化編集研究事務運用で専門性を発揮しやすいでしょう。,対人面では言葉より配慮や具体的行動で信頼と愛情を示しやすいです。,完璧主義と自己批判が強まりすぎると慢性的な疲労や安心感の欠如につながりやすいです。,stellium;Virgo;6house;work;service;improvement;strong
Libra,7,4,libra_7h_stellium_relationship_strong,協調と対人調整の超集中,人との関係性そのものが人生の中心舞台になりやすい強い集中配置です。,対話調整協力を通して自分の価値や役割が決まり人生が大きく展開しやすくなります。,仕事では交渉仲介接客人事営業デザイン共同作業で大きな力を発揮しやすいでしょう。,対人面では洗練気配り調和感覚が非常に強い魅力になります。,相手基準が強くなりすぎると主体性の喪失や優柔不断につながりやすいです。,stellium;Libra;7house;relationship;balance;cooperation;strong
Scorpio,8,4,scorpio_8h_stellium_transformation_strong,深い共有と変容の超集中,深い関係性共有喪失再生を通して人生が根本から変容しやすい強い集中配置です。,表面的には済まない体験を通して自分を作り変えていく流れが人生の中心軸として非常に強く現れやすいです。,仕事では研究心理金融危機管理再建医療調査分野で強い集中力と洞察力を発揮しやすいでしょう。,対人面では極めて深い結びつきと強い感情反応が出やすく信頼が重要になります。,執着疑い支配欲が強まると関係も心も極端になりやすくなります。,stellium;Scorpio;8house;transformation;depth;shared_resources;strong
Sagittarius,9,4,sagittarius_9h_stellium_exploration_strong,探求と拡大の超集中,学び探求思想の拡大が人生の方向性を決めるほど強く働きやすい集中配置です。,より大きな意味や可能性を追い求めることが人生の推進力として非常に強く現れやすいです。,仕事では教育研究出版企画戦略海外関連発信分野で視野の広さを活かしやすいでしょう。,対人面では率直さ自由さ理想の高さが魅力になります。,理想が先行しすぎると現実調整や継続的実務が甘くなりやすいです。,stellium;Sagittarius;9house;exploration;learning;expansion;strong
Capricorn,10,4,capricorn_10h_stellium_social_building_strong,社会構築と達成の超集中,責任達成社会的構築を通して存在感を高めることが人生の柱になりやすい強い集中配置です。,時間をかけて実績と信頼を築くことが人生の主軸として非常に強く現れやすいです。,仕事では管理組織運営制度設計経営補佐長期プロジェクトで大きな成果を出しやすいでしょう。,対人面では責任感と役割意識の強さが信頼につながりやすいです。,成果責任評価への偏りが強すぎると感情表現や柔らかさが極端に後回しになりやすいです。,stellium;Capricorn;10house;career;authority;structure;strong
Aquarius,11,4,aquarius_11h_stellium_network_strong,未来志向とネットワークの超集中,理想共有仲間連携を通して未来志向の価値を形にすることが人生の主軸になりやすい強い集中配置です。,個人で完結するより人や仕組みをつなぎながら新しい流れを作ることが非常に重要になります。,仕事では企画開発ITコミュニティ運営制度改善組織改革で大きな力を発揮しやすいでしょう。,対人面では独自性とフラットな関わり方が強い魅力になります。,理屈や距離感が強くなりすぎると冷たさ孤立感分断につながりやすいです。,stellium;Aquarius;11house;network;innovation;future;strong
Pisces,12,4,pisces_12h_stellium_spiritual_strong,感受性と内面世界の超集中,感受性直感内面世界の深さが人生全体を大きく支配しやすい強い集中配置です。,見えない流れや心の奥にあるものを感じ取りながら生きることが人生の中心テーマとして非常に強く現れやすいです。,仕事では癒し支援芸術福祉研究裏方医療分野で深い感受性を活かしやすいでしょう。,対人面では包み込むような共感力と受容性が強い魅力になります。,境界の曖昧さが強まると他者の感情や状況を抱え込みすぎて消耗しやすくなります。,stellium;Pisces;12house;sensitivity;inner;spiritual;strong
Aries,10,4,aries_10h_stellium_leadership_strong,社会的先導と突破の超集中,社会の中で先頭に立ち自ら流れを切り開く役割が極めて強く出やすい集中配置です。,結果を待つのではなく自分から仕掛けることが人生の主軸として非常に強く現れやすいです。,仕事では起業新規事業営業開拓プロジェクト推進現場判断で大きな力を発揮しやすいでしょう。,対人面では頼もしさと決断の速さが魅力になります。,周囲との歩調を無視すると孤立や対立が強まりやすくなります。,stellium;Aries;10house;leadership;career;initiative;strong
Gemini,10,4,gemini_10h_stellium_public_voice_strong,社会的発信と知的機動力の超集中,社会の中で情報を扱い伝え広げる役割が人生の中心になりやすい強い集中配置です。,知識や言葉を使って多方面に働きかけることが人生の軸として非常に強くなります。,仕事では広報営業編集教育企画メディア運営発信分野で高い適応力を発揮しやすいでしょう。,対人面では機転の良さと軽快さが印象に残りやすいです。,興味の分散が激しくなると一貫性や専門性の弱さにつながりやすいです。,stellium;Gemini;10house;career;communication;public;strong
Virgo,10,4,virgo_10h_stellium_professionalism_strong,専門性と改善の社会化の超集中,実務改善や専門性を社会的役割として形にしていくことが人生の中核になりやすい強い集中配置です。,正確さ有用性改善力を使って社会で信頼を築く流れが非常に強く現れやすいです。,仕事では分析品質管理編集研究事務改善専門職分野で高度な適性を発揮しやすいでしょう。,対人面では有能さ誠実さ安定した対応が信頼につながりやすいです。,細部へのこだわりが過剰になると評価不安神経疲労自己批判が強まりやすいです。,stellium;Virgo;10house;professional;career;improvement;strong
Aquarius,10,4,aquarius_10h_stellium_reform_strong,社会改革と独自性の超集中,社会の中で独自の視点を活かし新しい仕組みを作ることが人生の主軸になりやすい強い集中配置です。,既存の枠を疑いよりよい形へ更新していくことが人生の使命として非常に強く現れやすいです。,仕事では企画開発IT制度設計組織改革研究コミュニティ運営で大きな力を発揮しやすいでしょう。,対人面では個性と公平さが魅力になります。,理論優先が強すぎると人間的な温度差や孤立につながりやすいです。,stellium;Aquarius;10house;reform;career;innovation;strong
Pisces,10,4,pisces_10h_stellium_compassion_role_strong,共感的な社会的役割の超集中,社会の中で癒し受容支援の力を役割として大きく発揮しやすい強い集中配置です。,成果だけでなく人の心や空気を扱うことが人生の仕事として非常に強く現れやすいです。,仕事では医療福祉芸術支援カウンセリング接客分野で深い共感力を活かしやすいでしょう。,対人面では柔らかな包容力と安心感が信頼につながりやすいです。,現実との境界が曖昧だと仕事上の消耗や混乱依存関係につながりやすいです。,stellium;Pisces;10house;career;compassion;service;strong
