感受点名,星座名,ハウス,要約,解釈文,長所,注意点,成長のコツ,仕事での出方,対人での出方,優先度,タグ
DragonTail,Aries,4,自分中心の安心基準,家庭や居場所でも自分中心の行動を取りやすい配置です,自立した生活力,周囲との衝突,共感を意識する,個人活動で力を発揮,家庭内で自己主張が強く出やすい,78,過去傾向|家庭|自立
DragonTail,Aries,5,自己表現の強さが出やすい配置,自分の表現や楽しみを優先しやすい傾向があります,強い創造性,自己中心的創造,他者の視点を取り入れる,創作活動で活躍しやすい,恋愛で主導権を握りやすい,80,過去傾向|創造|自己表現
DragonTail,Aries,6,衝動的な働き方の癖,自分のやり方で仕事を進めすぎる傾向が出やすい配置です,行動力ある仕事姿勢,協調不足,チームワークを意識する,起業などで力を発揮,職場で独断的になりやすい,78,過去傾向|仕事|衝動
DragonTail,Aries,7,関係で主導権を握る癖,対人関係で主導権を握ろうとする傾向があります,リーダーシップ,関係の衝突,相手を尊重する,パートナー型事業で強み,主導的関係になりやすい,80,過去傾向|対人|主導
DragonTail,Aries,8,変化を自分で支配しようとする癖,大きな変化の中でも主導権を握ろうとする傾向があります,危機対応力,支配欲,信頼を育てる,研究金融分野で活躍,関係で支配的になりやすい,80,過去傾向|変化|支配
DragonTail,Aries,9,自分の信念を押し通す癖,自分の信念を強く主張しすぎる傾向があります,強い信念,独善的思想,他者の視点を学ぶ,教育分野で活躍しやすい,議論で衝突しやすい,78,過去傾向|信念|独断
DragonTail,Aries,10,社会で単独行動を取りやすい癖,社会活動で単独行動を好む傾向があります,強い独立心,協調不足,協力関係を築く,起業や管理職で活躍,強いリーダー型関係,80,過去傾向|社会|独立
DragonTail,Aries,11,理想を一人で進める癖,理想を自分一人で実現しようとする傾向があります,行動的理想主義,孤立行動,仲間と共有する,社会活動で活躍,仲間関係で衝突しやすい,78,過去傾向|理想|独立
DragonTail,Aries,12,衝動を内面に溜め込む癖,衝動的な感情を内面で抱え込みやすい配置です,直感力,感情爆発,内面整理を行う,創作分野で力を発揮,精神的距離を取りやすい,78,過去傾向|精神|衝動
DragonTail,Taurus,1,安定への執着が出やすい配置,安心や安定を強く求める傾向が出やすい配置です,安定感ある人格,変化への抵抗,柔軟性を育てる,安定職で力を発揮,穏やかな関係を好む,80,過去傾向|安定|執着
DragonTail,Taurus,2,所有への強い執着,所有や資産に強い安心感を求める傾向があります,資産管理能力,物質執着,共有を学ぶ,金融管理分野で活躍,安定重視関係,82,過去傾向|資産|所有
DragonTail,Taurus,3,変化を避ける思考,新しい情報より慣れた理解を好む傾向があります,安定した理解力,柔軟性不足,新しい視点を受け入れる,研究分野で活躍,落ち着いた対話関係,78,過去傾向|思考|安定
DragonTail,Taurus,4,安心環境への固着,慣れた家庭環境に留まりやすい傾向があります,家庭安定力,変化への恐れ,環境を広げる,生活産業で活躍,穏やかな家庭関係,80,過去傾向|家庭|安定
DragonTail,Taurus,5,快適な楽しみに留まる癖,安定した楽しみを好み変化を避ける傾向があります,持続的創造力,挑戦不足,新しい表現を試す,芸術分野で活躍,穏やかな恋愛関係,78,過去傾向|創造|快適
DragonTail,Taurus,6,慣れた働き方への固着,変化より慣れた働き方を好む傾向があります,継続力ある仕事力,改善停滞,柔軟性を持つ,実務分野で活躍,安定職場関係,80,過去傾向|仕事|安定
DragonTail,Taurus,7,安定関係への依存,安心できる関係に強く依存する傾向があります,信頼関係を築く力,関係執着,自立意識を持つ,パートナー事業で活躍,長期関係志向,82,過去傾向|対人|依存
DragonTail,Taurus,8,所有と共有の葛藤,共有資源に対しても所有意識が強く出やすい配置です,資源管理能力,執着心,手放しを学ぶ,金融分野で活躍,深い関係で執着が出やすい,80,過去傾向|共有|執着
DragonTail,Taurus,9,安定した信念に固執,一度形成した信念を変えにくい傾向があります,安定した価値観,頑固さ,柔軟思考,教育分野で活躍,穏やかな思想関係,78,過去傾向|信念|固定
DragonTail,Taurus,10,堅実成功への固着,堅実な成功モデルに固執しやすい傾向があります,努力継続力,変化拒否,新しい挑戦を受け入れる,管理分野で活躍,安定社会関係,82,過去傾向|社会|成功
DragonTail,Taurus,11,理想より安定重視,理想より安定を優先する傾向があります,現実的思考,理想不足,理想意識を育てる,社会組織で活躍,穏やかな仲間関係,78,過去傾向|理想|安定
DragonTail,Taurus,12,精神安定への固着,精神的にも安定を求めすぎる傾向があります,落ち着いた精神力,変化回避,新しい経験を受け入れる,癒し分野で活躍,穏やかな精神関係,78,過去傾向|精神|安定
DragonTail,Gemini,1,思考優先の自己表現,考えすぎる自己表現の癖が出やすい配置です,知的表現力,優柔不断,行動を意識する,情報分野で活躍,知的関係,78,過去傾向|思考|知性
DragonTail,Gemini,2,知識を価値としすぎる癖,情報や知識を価値の中心に置きやすい傾向があります,知識力,実行不足,経験を重視する,教育分野で活躍,知的刺激関係,78,過去傾向|知識|価値
DragonTail,Gemini,3,情報収集の癖,情報収集を続けすぎる傾向があります,情報理解力,決断遅れ,行動に移す,研究分野で活躍,会話関係,80,過去傾向|情報|知性
DragonTail,Gemini,4,家庭での知的距離,家庭でも感情より思考で対応する傾向があります,冷静判断力,感情理解不足,共感を意識する,教育家庭分野で活躍,理性的関係,78,過去傾向|家庭|思考
DragonTail,Gemini,5,知識中心の創造,創造活動でも思考優先になりやすい配置です,知的創造力,感情不足,感性を育てる,執筆分野で活躍,知的恋愛,78,過去傾向|創造|知性
DragonTail,Gemini,6,情報整理に偏る働き方の癖,仕事の場面で情報整理や分析に偏りすぎる傾向が出やすい配置です,分析能力,行動不足,実行力を意識する,分析職や研究職で活躍,理性的関係になりやすい,78,過去傾向|仕事|分析
DragonTail,Gemini,7,知的距離を取る関係の癖,感情より知性を優先して対人関係で距離を取りやすい傾向があります,冷静な対人判断,感情共有不足,共感を意識する,交渉分野で活躍,知的関係になりやすい,78,過去傾向|対人|思考
DragonTail,Gemini,8,秘密や心理を分析する癖,深い心理や秘密を分析的に理解しようとする傾向があります,洞察的分析力,疑念や不信感,信頼関係を育てる,心理研究分野で活躍,深い会話関係になりやすい,80,過去傾向|心理|分析
DragonTail,Gemini,9,知識偏重の思想傾向,知識や情報に偏った思想を持ちやすい傾向があります,情報理解力,思想の浅さ,深い探究を行う,教育分野で活躍,知的議論関係,78,過去傾向|思想|知識
DragonTail,Gemini,10,知識で社会的評価を得ようとする癖,知識や情報を通して社会的評価を得ようとする傾向があります,知的発信力,実行不足,行動と経験を重視する,メディア教育分野で活躍,理性的社会関係,80,過去傾向|社会|知識
DragonTail,Gemini,11,情報交換中心の仲間関係,仲間関係が情報交換中心になりやすい傾向があります,ネットワーク力,浅い関係性,深い関係を育てる,コミュニティ活動で活躍,知的仲間関係,78,過去傾向|仲間|情報
DragonTail,Gemini,12,思考過多になりやすい精神傾向,考えすぎて行動が遅れる傾向が出やすい配置です,内省力,思考過多,直感を信じる,研究創作分野で活躍,精神的距離を取りやすい,78,過去傾向|精神|思考
DragonTail,Cancer,1,感情中心の自己反応の癖,感情に強く反応して行動する傾向が出やすい配置です,共感力,感情過敏,感情を客観視する,ケア分野で活躍,感情関係になりやすい,80,過去傾向|感情|共感
DragonTail,Cancer,2,安心を物質に求める癖,安心感を物質や所有に求めやすい傾向があります,安定志向,不安からの所有欲,安心の内面化,生活産業で活躍,安心重視関係,80,過去傾向|安心|所有
DragonTail,Cancer,3,感情的な言葉の癖,感情をそのまま言葉にしやすい傾向があります,率直な感情表現,感情的発言,冷静な対話,教育分野で活躍,共感会話関係,78,過去傾向|対話|感情
DragonTail,Cancer,4,家庭依存の傾向,家庭や身内に強く依存しやすい配置です,家庭愛,依存傾向,自立を意識する,家庭関連分野活躍,家族中心関係,82,過去傾向|家庭|依存
DragonTail,Cancer,5,愛情表現が感情優先になる癖,愛情や創造で感情に流されやすい傾向があります,温かい表現力,感情過多,冷静さを保つ,芸術分野活躍,感情恋愛,80,過去傾向|恋愛|感情
DragonTail,Cancer,6,感情に左右される働き方,気分によって仕事のペースが変わりやすい傾向があります,共感的奉仕,安定性不足,習慣を整える,福祉医療分野活躍,共感職場関係,78,過去傾向|仕事|感情
DragonTail,Cancer,7,感情依存の関係,対人関係で感情的依存が出やすい配置です,愛情深い関係力,依存関係,対等関係を意識,家庭的関係を築きやすい,依存恋愛,82,過去傾向|対人|依存
DragonTail,Cancer,8,感情的執着の癖,感情や関係に強く執着する傾向があります,深い愛情,執着心,手放しを学ぶ,心理研究分野活躍,深い関係,80,過去傾向|執着|感情
DragonTail,Cancer,9,感情中心の信念,感情的体験から思想を作りやすい傾向があります,共感的思想,客観性不足,理性を取り入れる,教育分野活躍,共感思想関係,78,過去傾向|思想|感情
DragonTail,Cancer,10,家庭感情が社会行動に影響,家庭感情が社会活動に影響しやすい配置です,人情理解力,感情優先判断,客観性を持つ,福祉行政分野活躍,情的社会関係,80,過去傾向|社会|感情
DragonTail,Cancer,11,仲間を家族のように扱う癖,仲間関係でも家庭的関係を作りやすい傾向があります,仲間愛,過保護関係,距離感を保つ,コミュニティ分野活躍,家族的友情,78,過去傾向|仲間|家庭性
DragonTail,Cancer,12,感情を内面に溜め込む癖,感情を内側に溜め込みやすい傾向があります,深い共感力,内面不安,感情を言語化する,癒し分野活躍,精神共感関係,78,過去傾向|精神|感情
DragonTail,Leo,1,自己誇りの強さ,自分の存在や誇りを強く意識する傾向があります,自信ある存在感,自己中心性,他者視点を持つ,表現分野活躍,主導関係,82,過去傾向|誇り|自己表現
DragonTail,Leo,2,誇りを価値とする癖,自己誇りを価値の中心に置きやすい傾向があります,強い自己価値感,頑固さ,柔軟な価値観,芸術分野活躍,尊敬関係,80,過去傾向|価値|誇り
DragonTail,Leo,3,誇りある発言,自信ある発言をしやすい配置です,堂々とした表現,自己主張過多,相手を尊重する,講演教育分野活躍,情熱対話関係,80,過去傾向|発言|誇り
DragonTail,Leo,4,家庭で主導的役割,家庭内で主導的立場を取りやすい配置です,家族を守る力,支配傾向,対等関係を意識,家庭経営分野活躍,主導家庭関係,80,過去傾向|家庭|主導
DragonTail,Leo,5,自己表現中心の創造,創造や恋愛で自分中心になりやすい傾向があります,強い創造力,自己中心恋愛,相手理解,芸術分野活躍,情熱恋愛,82,過去傾向|創造|恋愛
DragonTail,Leo,6,誇りある働き方の癖,仕事で自尊心を強く意識する傾向があります,責任感ある仕事力,プライド過多,協力を学ぶ,管理分野活躍,尊敬職場関係,80,過去傾向|仕事|誇り
DragonTail,Leo,7,主導的関係の癖,関係で主導権を握ろうとする傾向があります,リーダーシップ,関係衝突,協調意識,共同事業活躍,主導関係,82,過去傾向|対人|主導
DragonTail,Leo,8,誇りと支配の葛藤,誇りや支配欲が関係に出やすい配置です,強い精神力,支配欲,信頼を育てる,研究分野活躍,深い関係,80,過去傾向|支配|誇り
DragonTail,Leo,9,信念を誇りとして守る癖,信念や思想に誇りを持ちやすい配置です,信念力,独善性,柔軟思考,教育思想分野活躍,思想関係,78,過去傾向|思想|誇り
DragonTail,Leo,10,社会的誇りへの執着,社会的評価や名誉を強く意識する傾向があります,成功意識,名誉執着,謙虚さを持つ,経営分野活躍,尊敬関係,82,過去傾向|社会|名誉
DragonTail,Leo,11,仲間内で中心になりやすい癖,仲間関係でも中心人物になりやすい傾向があります,カリスマ性,自己中心的関係,協力関係を学ぶ,コミュニティ分野活躍,中心人物関係,80,過去傾向|仲間|中心
DragonTail,Leo,12,誇りを内面に抱える癖,内面で強い誇りや理想を抱えやすい配置です,精神的誇り,孤立傾向,共感関係を持つ,創作分野活躍,精神関係,78,過去傾向|精神|誇り
DragonTail,Virgo,1,自己分析の癖,自分を分析しすぎる傾向があります,観察力,自己批判,自己受容,研究分野活躍,理性的関係,78,過去傾向|分析|自己
DragonTail,Virgo,2,価値を細かく評価する癖,価値や物事を細かく分析しすぎる傾向があります,分析能力,批判思考,全体を見る,管理分野活躍,理性的関係,78,過去傾向|価値|分析
DragonTail,Virgo,3,細かい言葉遣いの癖,細かい説明や分析をしすぎる傾向があります,説明力,批判的発言,共感対話,教育分野活躍,知的関係,78,過去傾向|対話|分析
DragonTail,Virgo,4,家庭内での細かな管理癖,家庭でも細かく管理しやすい傾向があります,整理能力,神経質,寛容さを持つ,生活管理分野活躍,管理家庭関係,80,過去傾向|家庭|管理
DragonTail,Virgo,5,創造にも分析を持ち込む癖,創造活動でも分析的になりすぎる傾向があります,計画的創造,自由不足,感性を育てる,研究芸術分野活躍,理性的恋愛,78,過去傾向|創造|分析
DragonTail,Virgo,6,完璧主義の仕事傾向,仕事で完璧を求めすぎる傾向があります,高い実務能力,過労や神経質,柔軟性を持つ,専門職活躍,信頼職場関係,82,過去傾向|仕事|完璧
DragonTail,Virgo,7,関係を分析しすぎる癖,対人関係でも相手を分析しすぎる傾向があります,冷静な観察力,批判的態度,共感を意識する,相談分析分野活躍,理性的関係,78,過去傾向|対人|分析
DragonTail,Virgo,8,心理を細かく分析する癖,人の心理や関係を細かく分析しすぎる傾向があります,洞察力,疑念や神経質,信頼を意識する,心理研究分野活躍,深い関係,80,過去傾向|心理|分析
DragonTail,Virgo,9,思想を整理しすぎる癖,思想や哲学を理屈で整理しすぎる傾向があります,論理思考力,柔軟性不足,感性を取り入れる,教育研究分野活躍,知的関係,78,過去傾向|思想|分析
DragonTail,Virgo,10,社会的評価を気にする癖,社会の中で評価や役割を強く意識しすぎる傾向があります,責任感,評価への不安,自己受容を育てる,管理専門職活躍,信頼関係,80,過去傾向|社会|評価
DragonTail,Virgo,11,仲間関係を管理する癖,仲間関係でも整理や管理をしすぎる傾向があります,調整能力,細かい干渉,自由を尊重する,組織運営分野活躍,仲間関係,78,過去傾向|仲間|管理
DragonTail,Virgo,12,内面を分析し続ける癖,自分の内面を分析しすぎて悩みやすい傾向があります,内省力,思考過多,感覚を信じる,研究創作分野活躍,精神関係,78,過去傾向|精神|分析
DragonTail,Libra,1,他者基準で自分を決める癖,周囲との調和や評価を優先して自分の意思を後回しにしやすい配置です,協調力,自己決定の弱さ,自分の意思を意識する,交渉調整分野で活躍,相手優先関係になりやすい,80,過去傾向|調和|依存
DragonTail,Libra,2,他者評価を価値基準にする癖,自分の価値を他人の評価で判断しやすい傾向があります,対人バランス力,評価依存,自己価値を育てる,接客分野で活躍,承認関係,78,過去傾向|価値|評価
DragonTail,Libra,3,意見を合わせる会話癖,自分の意見よりも相手の意見を優先しやすい配置です,柔軟な対話力,主体性不足,率直な意見を言う,教育交渉分野活躍,調和会話関係,78,過去傾向|対話|調和
DragonTail,Libra,4,家庭内で調整役になりやすい癖,家庭でも対立を避け調整役になりやすい配置です,家庭調整力,自己抑制,自分の感情を表現,家庭相談分野活躍,調和家庭関係,78,過去傾向|家庭|調整
DragonTail,Libra,5,恋愛で相手に合わせる癖,恋愛で相手の好みに合わせすぎる傾向があります,魅力ある対人感覚,自己抑制恋愛,自分の意思を持つ,芸術分野活躍,調和恋愛,80,過去傾向|恋愛|依存
DragonTail,Libra,6,職場で周囲に合わせる癖,職場で自分の意見を控え周囲に合わせやすい配置です,協調力,主体性不足,意見を表現する,チーム職活躍,調和職場関係,78,過去傾向|仕事|調和
DragonTail,Libra,7,関係依存の傾向,パートナー関係に強く依存しやすい配置です,対人魅力,依存関係,自立を意識する,パートナー事業活躍,依存関係,82,過去傾向|対人|依存
DragonTail,Libra,8,関係のバランスに執着,関係のバランスや公平性を強く意識しすぎる傾向があります,公平感覚,優柔不断,決断力を育てる,法律分野活躍,深い関係調整,80,過去傾向|関係|公平
DragonTail,Libra,9,思想でも調和を優先,思想でも対立を避け調和を優先しやすい傾向があります,バランス思想,主体性不足,信念を持つ,教育分野活躍,穏やかな思想関係,78,過去傾向|思想|調和
DragonTail,Libra,10,社会評価に合わせる癖,社会での評価や評判を強く意識する傾向があります,社会適応力,評価依存,自分基準を持つ,外交分野活躍,社会調和関係,80,過去傾向|社会|評価
DragonTail,Libra,11,仲間の意見を優先する癖,仲間の意見に合わせすぎる傾向があります,協力関係力,主体性不足,意見を言う,コミュニティ分野活躍,仲間調和関係,78,過去傾向|仲間|調和
DragonTail,Libra,12,対立回避の内面傾向,対立を避けるため感情を抑えやすい配置です,平和志向,自己抑制,本音を認識する,芸術分野活躍,精神調和関係,78,過去傾向|精神|調和
DragonTail,Scorpio,1,強い警戒心の癖,人や状況に対して強い警戒心を持ちやすい配置です,洞察力,疑念心,信頼を育てる,研究分野活躍,警戒関係,80,過去傾向|警戒|心理
DragonTail,Scorpio,2,失う不安への執着,価値や所有を失う不安を強く感じやすい傾向があります,危機察知能力,執着心,安心感を育てる,金融分野活躍,執着関係,82,過去傾向|執着|価値
DragonTail,Scorpio,3,深読みの思考癖,人の言葉や行動を深読みしすぎる傾向があります,洞察力,疑念思考,率直な理解,心理研究分野活躍,深い会話関係,80,過去傾向|思考|洞察
DragonTail,Scorpio,4,家庭内で感情を溜め込む癖,家庭で感情を溜め込みやすい傾向があります,深い愛情,感情抑圧,感情表現を学ぶ,心理分野活躍,深い家庭関係,80,過去傾向|家庭|感情
DragonTail,Scorpio,5,激しい恋愛傾向,恋愛で感情が激しくなりやすい配置です,情熱的愛情,嫉妬心,信頼関係を築く,芸術分野活躍,激しい恋愛,82,過去傾向|恋愛|情熱
DragonTail,Scorpio,6,仕事への執着,仕事や役割に強く執着しやすい傾向があります,集中力,執着心,柔軟性を持つ,研究職活躍,強い責任関係,80,過去傾向|仕事|執着
DragonTail,Scorpio,7,深い依存関係の癖,対人関係で強い依存や支配が出やすい配置です,深い関係力,依存支配,対等関係を学ぶ,共同事業活躍,強い依存関係,82,過去傾向|対人|依存
DragonTail,Scorpio,8,心理支配の傾向,心理的に相手を支配しようとする傾向があります,洞察力,支配欲,信頼を学ぶ,心理研究分野活躍,深い関係,80,過去傾向|支配|心理
DragonTail,Scorpio,9,極端思想の癖,思想や信念が極端になりやすい傾向があります,強い信念,極端思考,柔軟性を持つ,研究思想分野活躍,思想関係,78,過去傾向|思想|極端
DragonTail,Scorpio,10,社会的権力への執着,社会での影響力や権力に執着しやすい傾向があります,影響力,支配志向,協力を学ぶ,政治研究分野活躍,権力関係,82,過去傾向|社会|権力
DragonTail,Scorpio,11,仲間関係での支配傾向,仲間関係でも主導権を握ろうとする傾向があります,カリスマ性,支配傾向,対等関係を学ぶ,団体活動分野活躍,強い仲間関係,80,過去傾向|仲間|支配
DragonTail,Scorpio,12,内面に強い感情を抱える癖,内面で強い感情や執着を抱え込みやすい配置です,精神集中力,感情抑圧,感情整理,研究分野活躍,精神関係,78,過去傾向|精神|執着
DragonTail,Sagittarius,1,信念優先の行動癖,自分の信念を優先して行動しやすい配置です,行動的理想主義,独断行動,柔軟思考,教育分野活躍,思想関係,80,過去傾向|信念|行動
DragonTail,Sagittarius,2,理想を価値にする癖,理想や理念を価値の中心に置きやすい傾向があります,理想志向,現実軽視,現実価値を意識する,教育出版分野活躍,思想関係,78,過去傾向|価値|理想
DragonTail,Sagittarius,3,断定的発言の癖,自分の考えを断定的に言いやすい配置です,説得力ある発言,押し付け発言,対話意識,教育分野活躍,思想議論関係,78,過去傾向|対話|信念
DragonTail,Sagittarius,4,家庭内で理想を押し付ける癖,家庭でも理想や価値観を強く示す傾向があります,理想志向家庭,押し付け傾向,共感理解,教育家庭分野活躍,思想家庭関係,78,過去傾向|家庭|理想
DragonTail,Sagittarius,5,自由恋愛志向の癖,恋愛でも自由や理想を優先しやすい配置です,自由恋愛力,責任不足,現実的関係,芸術旅行分野活躍,自由恋愛,80,過去傾向|恋愛|自由
DragonTail,Sagittarius,6,理想優先の働き方,理想を優先して現実作業を軽視しやすい傾向があります,理想志向,実務軽視,現実行動,教育国際分野活躍,自由職場関係,78,過去傾向|仕事|理想
DragonTail,Sagittarius,7,思想中心の関係,思想や価値観で関係を作りやすい傾向があります,思想共有力,現実関係不足,現実交流,教育出版分野活躍,思想関係,80,過去傾向|対人|思想
DragonTail,Sagittarius,8,思想的支配の癖,思想や信念で相手を導こうとする傾向があります,指導力,押し付け思想,理解を重視,宗教思想分野活躍,深い思想関係,78,過去傾向|思想|支配
DragonTail,Sagittarius,9,信念への固執,信念や思想を変えにくい傾向があります,強い信念力,柔軟性不足,異文化理解,教育思想分野活躍,思想関係,80,過去傾向|思想|信念
DragonTail,Sagittarius,10,理想的成功像への固着,理想的成功像を追い続ける傾向があります,理想追求力,現実軽視,段階的努力,教育国際分野活躍,尊敬関係,80,過去傾向|社会|理想
DragonTail,Sagittarius,11,理想仲間関係の癖,理想や理念で仲間関係を作りやすい配置です,理想共有力,現実不足,実務関係,社会活動分野活躍,思想仲間関係,78,過去傾向|仲間|理想
DragonTail,Sagittarius,12,精神理想への逃避傾向,精神世界や理想に逃避しやすい傾向があります,精神探求力,現実逃避,現実行動,宗教哲学分野活躍,精神関係,78,過去傾向|精神|理想
DragonTail,Capricorn,1,責任を背負いすぎる癖,幼い頃から責任や義務を強く意識する傾向が出やすい配置です,強い責任感,自己抑圧,自分を労わる,管理分野活躍,信頼関係,80,過去傾向|責任|自制
DragonTail,Capricorn,2,努力を価値とする癖,努力や成果を価値の中心に置きやすい傾向があります,努力継続力,物質主義,精神価値を育てる,金融管理分野活躍,堅実関係,80,過去傾向|価値|努力
DragonTail,Capricorn,3,現実的思考の強さ,現実的で実務的な思考を持ちやすい配置です,計画思考力,柔軟性不足,直感を取り入れる,研究分野活躍,理性関係,78,過去傾向|思考|現実
DragonTail,Capricorn,4,家庭でも責任を抱える癖,家庭内でも責任を背負いやすい傾向があります,家庭責任力,重圧,安心を大切にする,家庭管理分野活躍,責任家庭関係,80,過去傾向|家庭|責任
DragonTail,Capricorn,5,努力型の創造,楽しみより努力で創造する傾向があります,努力創造力,遊び不足,楽しみを意識する,芸術教育分野活躍,堅実恋愛,78,過去傾向|創造|努力
DragonTail,Capricorn,6,働きすぎる癖,責任感から働きすぎる傾向があります,実務能力,過労,休息を意識,専門職活躍,信頼職場関係,82,過去傾向|仕事|責任
DragonTail,Capricorn,7,責任関係を作りやすい癖,対人関係でも責任を背負いやすい配置です,誠実関係力,関係負担,対等関係,共同事業活躍,長期関係,80,過去傾向|対人|責任
DragonTail,Capricorn,8,権力や構造への関心,社会構造や権力に関心を持ちやすい傾向があります,構造理解力,権力志向,倫理意識,政治研究分野活躍,深い関係,80,過去傾向|権力|構造
DragonTail,Capricorn,9,現実思想の癖,現実的思想を重視しやすい傾向があります,実務哲学力,理想不足,理想を持つ,教育政策分野活躍,思想関係,78,過去傾向|思想|現実
DragonTail,Capricorn,10,社会成功への執着,社会的成功を強く意識する傾向があります,成功志向,成功執着,人間性重視,経営政治分野活躍,尊敬関係,82,過去傾向|社会|成功
DragonTail,Capricorn,11,組織的理想の癖,理想を組織の中で実現しようとする傾向があります,組織運営力,独裁傾向,協調意識,団体分野活躍,仲間関係,78,過去傾向|理想|組織
DragonTail,Capricorn,12,責任を内面に抱える癖,責任感や義務を内面に抱え込みやすい配置です,忍耐力,孤独感,助けを求める,研究精神分野活躍,静かな関係,78,過去傾向|精神|責任
DragonTail,Aquarius,1,個性優先の自己表現,独自性を強く表現しやすい配置です,革新力,孤立傾向,協力意識,IT研究分野活躍,自由関係,80,過去傾向|個性|独立
DragonTail,Aquarius,2,独自価値観の癖,自分独自の価値観を持ちやすい傾向があります,未来思考力,現実軽視,現実価値を育てる,IT金融分野活躍,自由関係,78,過去傾向|価値|独自
DragonTail,Aquarius,3,独特な思考パターン,独特な発想や思考を持ちやすい配置です,発明思考力,奇抜思考,実用性を意識,研究教育分野活躍,知的関係,78,過去傾向|思考|革新
DragonTail,Aquarius,4,家庭で自由を求める癖,家庭でも自由や独立を求めやすい傾向があります,独立家庭力,距離感,協力意識,生活改革分野活躍,自由家庭関係,78,過去傾向|家庭|自由
DragonTail,Aquarius,5,独創的創造の癖,独創的な創造や表現を好む配置です,独創力,奇抜すぎる表現,調整意識,芸術IT分野活躍,自由恋愛,80,過去傾向|創造|独創
DragonTail,Aquarius,6,独自の働き方の癖,独自のやり方で仕事を進めやすい傾向があります,改革力,協調不足,協働意識,IT技術分野活躍,協働関係,78,過去傾向|仕事|独立
DragonTail,Aquarius,7,自由関係志向の癖,自由で距離感ある関係を好む傾向があります,平等関係力,距離感過多,感情共有,共同事業成功,自由関係,80,過去傾向|対人|自由
DragonTail,Aquarius,8,社会変革志向,社会変革や研究に興味を持ちやすい配置です,社会洞察力,極端思想,現実意識,研究社会分野活躍,深い信頼関係,78,過去傾向|変革|社会
DragonTail,Aquarius,9,未来思想の癖,未来志向の思想を持ちやすい配置です,未来思想力,現実離れ,実践意識,教育研究分野活躍,思想関係,78,過去傾向|思想|未来
DragonTail,Aquarius,10,社会改革志向,社会改革や革新を目指しやすい配置です,改革志向,反体制過剰,協力意識,政治社会分野活躍,社会関係,80,過去傾向|社会|改革
DragonTail,Aquarius,11,未来理想の癖,未来理想を追求しやすい傾向があります,理想革新力,理想過多,現実意識,社会活動分野活躍,仲間関係,78,過去傾向|理想|未来
DragonTail,Aquarius,12,精神自由志向,精神的自由を強く求める配置です,精神自由力,孤立傾向,共感意識,芸術研究分野活躍,精神関係,78,過去傾向|精神|自由
DragonTail,Pisces,1,共感過多の自己表現,共感しすぎて自分を見失いやすい配置です,共感力,境界曖昧,自己境界を持つ,芸術癒し分野活躍,共感関係,80,過去傾向|共感|感受性
DragonTail,Pisces,2,精神価値中心の癖,精神的価値を重視しすぎる傾向があります,精神理解力,現実軽視,現実価値を育てる,芸術分野活躍,共感関係,78,過去傾向|価値|精神
DragonTail,Pisces,3,感受性豊かな思考,感覚的思考を持ちやすい配置です,感受性,混乱思考,整理意識,芸術教育分野活躍,優しい関係,78,過去傾向|思考|感受
DragonTail,Pisces,4,癒し家庭志向,家庭で癒し役になりやすい配置です,癒し力,依存関係,自立意識,福祉教育分野活躍,温かい家庭関係,78,過去傾向|家庭|癒し
DragonTail,Pisces,5,幻想的創造,幻想的創造に惹かれやすい傾向があります,芸術感性,現実逃避,現実意識,芸術分野活躍,ロマン関係,80,過去傾向|創造|幻想
DragonTail,Pisces,6,自己犠牲的奉仕,奉仕や献身に偏りやすい配置です,献身力,自己犠牲,自分も大切にする,医療福祉分野活躍,支援関係,80,過去傾向|仕事|奉仕
DragonTail,Pisces,7,共感依存関係,共感関係に依存しやすい傾向があります,理解関係力,依存関係,自立意識,カウンセリング分野活躍,深い関係,82,過去傾向|対人|共感
DragonTail,Pisces,8,精神変容体験の癖,精神的変容や深い感情体験をしやすい配置です,洞察力,感情混乱,冷静意識,心理研究分野活躍,深い関係,80,過去傾向|変容|精神
DragonTail,Pisces,9,精神思想の癖,精神世界や哲学思想に惹かれやすい傾向があります,精神理解力,現実逃避,現実行動,宗教哲学分野活躍,精神関係,78,過去傾向|思想|精神
DragonTail,Pisces,10,共感社会志向,共感や奉仕を社会で表現しやすい配置です,慈愛力,責任回避,責任意識,福祉医療分野活躍,信頼関係,80,過去傾向|社会|共感
DragonTail,Pisces,11,理想共感仲間関係,共感的理想を共有する仲間関係を作りやすい配置です,理想共感力,理想過多,現実意識,社会活動分野活躍,仲間関係,78,過去傾向|仲間|理想
DragonTail,Pisces,12,精神世界への傾倒,精神世界や内面世界に強く惹かれやすい配置です,精神探求力,現実逃避,現実意識,ヒーリング研究分野活躍,精神関係,78,過去傾向|精神|探求
