planet1,planet2,aspect,テーマ,核となる意味,長所,注意点,対人での出方,仕事での出方,成長のコツ,要約,解釈文,use_in_section,role,priority,conflict_weight,support_weight,direction_weight,section7_summary
Moon,Jupiter,opposition,感情と安心と拡大と楽観の対立,感情と安心と拡大と楽観が向かい合い、不安定さが増え、気分が揺れやすい。,両面を見渡して調整できるため、バランスを取る力として活きる,迷いが長引き、決めきれず機会を逃す,理想の安らぎを追求しつつ他者と深く精神的に共鳴します,理想の追求と内面の平安を両立させて働きます,高い理想を掲げつつ現実的な生活基盤を安定させること,月の感情と木星の拡大が引き裂かれるため、感情が揺れ、判断や行動が安定しにくくなる,感情と安心と拡大と楽観が引き合い、迷いが続き、決断が遅れて機会を逃す。揺れを抱えながらも選択を積み上げる流れが生まれる。,TRUE,conflict,high,0.8,0,0,月の感情と木星の拡大が引き裂かれるため、感情が揺れ、判断や行動が安定しにくくなる
Moon,Saturn,conjunction,感情と安心と制限と責任の一体化,感情と安心と制限と責任が一体化し、責任感が強まり、力みやすい。,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,規律ある情緒で周囲に落ち着きと安定した信頼を与えます,落ち着いた情緒と自己管理能力で安定をもたらします,心の硬直化を防ぎ素直な感情を表現する場を持つこと,月の感情と土星の制限が一体化し、感情が飲み込まれる。,感情と安心と制限と責任が一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,high,0.8,0.05,0.1,月の感情と土星の制限が一体化し、感情が飲み込まれる
Moon,Saturn,sextile,感情と安心と制限と責任の協調,感情と安心と制限と責任が協力し、現実化が進みやすい。,補い合う工夫ができ、実務で形にする力として活きる,合わせすぎて主体性が弱まり、判断が遅れる,真面目な対応により長期的な安心と信頼を構築します,規律ある生活を通じて内面の安定と信頼を守ります,閉鎖的な思考を解き放ち新しい価値観を取り入れること,月の感情と土星の制限が自然に流れ、安心が進み、動きが具体化しやすくなる,感情と安心と制限と責任が協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,月の感情と土星の制限が自然に流れ、安心が進み、動きが具体化しやすくなる
Moon,Saturn,trine,感情と安心と制限と責任の調和,感情と安心と制限と責任が自然に調和し、地に足がつきやすい。,流れを掴んで自然に成果へつなげる力として活きる,流れに乗りすぎて詰めが甘くなり、成果が薄れる,経験を糧にした成熟した情緒で周囲を穏やかに守ります,経験を糧にした成熟した精神で安定を維持します,変化への恐怖を捨て経験から得た知恵を信じること,月の感情と土星の制限が自然に流れ、気持ちが整い、落ち着いて動きやすくなる,感情と安心と制限と責任が自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,月の感情と土星の制限が自然に流れ、気持ちが整い、落ち着いて動きやすくなる
Moon,Uranus,conjunction,感情と安心と変化と独立の一体化,感情と安心と変化と独立が一体化し、感情が強まり過ぎて飲まれやすい。,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,既存の枠に囚われない自由な感性で周囲を驚かせます,自由な感性と直感で既存の枠に囚われず動きます,感情の突飛さを自覚し周囲との調和を意識すること,月の感情と天王星の変化が一体化し、感情が飲み込まれる。,感情と安心と変化と独立が一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,medium,0.6,0,0,月の感情と天王星の変化が一体化し、感情が飲み込まれる
Moon,Uranus,sextile,感情と安心と変化と独立の協調,感情と安心と変化と独立が協力し、気持ちが落ち着きやすい。,補い合う工夫ができ、実務で形にする力として活きる,合わせすぎて主体性が弱まり、判断が遅れる,新しい変化を楽しみながら柔軟なコミュニケーションを図ります,新しい刺激を柔軟に取り入れ日常を刷新します,伝統への反発を創造的な新しい感性へ昇華させること,月の感情と天王星の変化が自然に流れ、安心が進み、動きが具体化しやすくなる,感情と安心と変化と独立が協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,月の感情と天王星の変化が自然に流れ、安心が進み、動きが具体化しやすくなる
Moon,Uranus,square,感情と安心と変化と独立の衝突,感情と安心と変化と独立がぶつかり、不安定さが増え、気分が揺れやすい。,緊張をバネにして、粘り強く課題を突破する力として活きる,焦って動き、衝突やミスを招く,感情の激しさを創造的なエネルギーに変え相手を魅了します,情緒の不安定さを創造的な変化の力に変えます,精神的な混乱を整理し内面的な秩序を再構築すること,月の感情と天王星の変化がぶつかるため、気分が揺れ、判断や行動が安定しにくくなる,感情と安心と変化と独立がぶつかり、判断が遅れた後に焦って動き、衝突やミスを招く。摩擦を通じて判断力を磨く流れが生まれる。,TRUE,conflict,high,0.8,0,0,月の感情と天王星の変化がぶつかるため、気分が揺れ、判断や行動が安定しにくくなる
Moon,Uranus,trine,感情と安心と変化と独立の調和,感情と安心と変化と独立が自然に調和し、安心感が保ちやすい。,独自のライフスタイル,流れに乗りすぎて詰めが甘くなり、成果が薄れる,独自のスタイルを貫きながら個性的な絆を大切にします,独自の感性を活かし新しいスタイルを確立します,独自性を大切にしつつ社会との接点を維持すること,月の感情と天王星の変化が自然に流れ、気持ちが整い、落ち着いて動きやすくなる,感情と安心と変化と独立が自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,月の感情と天王星の変化が自然に流れ、気持ちが整い、落ち着いて動きやすくなる
Moon,Uranus,opposition,感情と安心と変化と独立の対立,感情と安心と変化と独立が向かい合い、不安定さが増え、気分が揺れやすい。,両面を見渡して調整できるため、バランスを取る力として活きる,迷いが長引き、決めきれず機会を逃す,適度な距離感を保ち自立した関係を好意的に築きます,他者との距離を調整しつつ個性を発揮します,疎外感を感じた時は自分から歩み寄る勇気を持つこと,月の感情と天王星の変化が引き裂かれるため、感情が揺れ、判断や行動が安定しにくくなる,感情と安心と変化と独立が引き合い、迷いが続き、決断が遅れて機会を逃す。揺れを抱えながらも選択を積み上げる流れが生まれる。,TRUE,conflict,high,0.8,0,0,月の感情と天王星の変化が引き裂かれるため、感情が揺れ、判断や行動が安定しにくくなる
Moon,Neptune,conjunction,感情と安心と理想と曖昧さの一体化,感情と安心と理想と曖昧さが一体化し、感情が強まり過ぎて飲まれやすい。,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,高い共鳴力で相手の痛みや喜びを自分のこととして感じます,高い共感力と豊かなイメージで価値を創造します,他者との境界線を意識し自分を失わないようにすること,月の感情と海王星の理想が一体化し、感情が飲み込まれる。,感情と安心と理想と曖昧さが一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,medium,0.6,0,0,月の感情と海王星の理想が一体化し、感情が飲み込まれる
Moon,Neptune,sextile,感情と安心と理想と曖昧さの協調,感情と安心と理想と曖昧さが協力し、気持ちが落ち着きやすい。,補い合う工夫ができ、実務で形にする力として活きる,合わせすぎて主体性が弱まり、判断が遅れる,繊細な感受性で周囲の不調を察し優しく癒やします,純粋な感受性を用いて周囲を癒やす役割を担います,感受性の強さを守るための静かな環境を確保すること,月の感情と海王星の理想が自然に流れ、安心が進み、動きが具体化しやすくなる,感情と安心と理想と曖昧さが協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,月の感情と海王星の理想が自然に流れ、安心が進み、動きが具体化しやすくなる
Moon,Neptune,square,感情と安心と理想と曖昧さの衝突,感情と安心と理想と曖昧さがぶつかり、不安定さが増え、気分が揺れやすい。,緊張をバネにして、粘り強く課題を突破する力として活きる,焦って動き、衝突やミスを招く,夢やイメージを共有することで深い情緒的結合を求めます,現実逃避を抑え夢を形にする努力を継続します,夢想に耽るだけでなく具体的な日常を大切にすること,月の感情と海王星の理想がぶつかるため、気分が揺れ、判断や行動が安定しにくくなる,感情と安心と理想と曖昧さがぶつかり、判断が遅れた後に焦って動き、衝突やミスを招く。摩擦を通じて判断力を磨く流れが生まれる。,TRUE,conflict,high,0.8,0,0,月の感情と海王星の理想がぶつかるため、気分が揺れ、判断や行動が安定しにくくなる
Moon,Neptune,trine,感情と安心と理想と曖昧さの調和,感情と安心と理想と曖昧さが自然に調和し、安心感が保ちやすい。,流れを掴んで自然に成果へつなげる力として活きる,流れに乗りすぎて詰めが甘くなり、成果が薄れる,インスピレーションを活かして周囲に安らぎを提供します,インスピレーションを実生活に活かして働きます,インスピレーションを形にするための粘り強さを持つこと,月の感情と海王星の理想が自然に流れ、気持ちが整い、落ち着いて動きやすくなる,感情と安心と理想と曖昧さが自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,月の感情と海王星の理想が自然に流れ、気持ちが整い、落ち着いて動きやすくなる
Moon,Neptune,opposition,感情と安心と理想と曖昧さの対立,感情と安心と理想と曖昧さが向かい合い、不安定さが増え、気分が揺れやすい。,両面を見渡して調整できるため、バランスを取る力として活きる,迷いが長引き、決めきれず機会を逃す,繊細な感性を守りつつ高い次元の愛で他者と接します,繊細な感性を守りつつ高い精神性を体現します,繊細すぎる自分を認め現実社会での適応力を養うこと,月の感情と海王星の理想が引き裂かれるため、感情が揺れ、判断や行動が安定しにくくなる,感情と安心と理想と曖昧さが引き合い、迷いが続き、決断が遅れて機会を逃す。揺れを抱えながらも選択を積み上げる流れが生まれる。,TRUE,conflict,high,0.8,0,0,月の感情と海王星の理想が引き裂かれるため、感情が揺れ、判断や行動が安定しにくくなる
Moon,Pluto,conjunction,感情と安心と極端さと支配欲の一体化,感情と安心と極端さと支配欲が一体化する構造,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,魂の本質を突くような深い関わりで相手を変容させます,深い洞察力と再生能力で物事の核心を扱います,激しい情念を浄化し内面的な平安を確立すること,月の感情と冥王星の極端さが一体化し、感情が飲み込まれる。,感情と安心と極端さと支配欲が一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,medium,0.6,0,0,月の感情と冥王星の極端さが一体化し、感情が飲み込まれる
Moon,Pluto,sextile,感情と安心と極端さと支配欲の協調,感情と安心と極端さと支配欲が協力し、踏み込む力が支えになる。,補い合う工夫ができ、実務で形にする力として活きる,合わせすぎて主体性が弱まり、判断が遅れる,心の闇に光を当て根本的な再生を他者と共に目指します,内面を深く見つめ根本的な変容を促す実務に就きます,根源的な恐怖を直視しそれを乗り越える強さを育むこと,月の感情と冥王星の極端さが自然に流れ、安心が進み、動きが具体化しやすくなる,感情と安心と極端さと支配欲が協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,月の感情と冥王星の極端さが自然に流れ、安心が進み、動きが具体化しやすくなる
Moon,Pluto,trine,感情と安心と極端さと支配欲の調和,感情と安心と極端さと支配欲が自然に調和し、再生力が支えになる。,流れを掴んで自然に成果へつなげる力として活きる,流れに乗りすぎて詰めが甘くなり、成果が薄れる,不屈の情緒的強さで大切な人を守り抜き再生させます,不屈の情緒的強さを持って徹底的に癒やします,支配欲を癒やしの力に変え慈愛を持って接すること,月の感情と冥王星の極端さが自然に流れ、気持ちが整い、落ち着いて動きやすくなる,感情と安心と極端さと支配欲が自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,月の感情と冥王星の極端さが自然に流れ、気持ちが整い、落ち着いて動きやすくなる
Moon,DragonHead,conjunction,感情と安心と成長方向の一体化,感情と安心と成長方向が一体化し、感情が強まり過ぎて飲まれやすい。,感情習慣を通じた成長課題の集中力,感情習慣を通じた成長課題の偏り,Moonの性質を通じて、ドラゴンヘッドが示す未来志向をストレートに対人関係へ表しやすくなります,Moonの力を通じて、ドラゴンヘッドが示す成長方向を仕事の推進力として一体的に使いやすくなります,一体化した力を無自覚に使わず意識的に扱うこと。特にMoonの力を、慣れたやり方ではなく未来へ向かう形で伸ばしていくこと,月の感情とドラゴンヘッドの成長方向が一体化し、感情が飲み込まれる。,感情と安心と成長方向が一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,medium,0.6,0,0,月の感情とドラゴンヘッドの成長方向が一体化し、感情が飲み込まれる
Moon,DragonHead,sextile,感情と安心と成長方向の協調,感情と安心と成長方向が協力し、気持ちが落ち着きやすい。,感情習慣を通じた成長課題の柔軟性,感情習慣を通じた成長課題の甘さ,Moonの性質を通じて、ドラゴンヘッドが示す未来志向をバランスよく周囲との関わりへ活かしやすくなります,Moonの力を通じて、ドラゴンヘッドが示す成長方向を無理なく連携させ成果へ結びつけやすくなります,与えられた機会を待つだけでなく自ら活かしにいくこと。特にMoonの力を、慣れたやり方ではなく未来へ向かう形で伸ばしていくこと,月の感情とドラゴンヘッドの成長方向が自然に流れ、安心が進み、動きが具体化しやすくなる,感情と安心と成長方向が協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,月の感情とドラゴンヘッドの成長方向が自然に流れ、安心が進み、動きが具体化しやすくなる
Moon,DragonHead,trine,感情と安心と成長方向の調和,感情と安心と成長方向が自然に調和し、安心感が保ちやすい。,感情習慣を通じた成長課題の自然な流れ,感情習慣を通じた成長課題の安住,Moonの性質を通じて、ドラゴンヘッドが示す未来志向が自然体の魅力として周囲に伝わりやすくなります,Moonの力を通じて、ドラゴンヘッドが示す成長方向をスムーズに循環させ成果へ繋げやすくなります,自然にできることを意識的に育て社会へ還元すること。特にMoonの力を、慣れたやり方ではなく未来へ向かう形で伸ばしていくこと,月の感情とドラゴンヘッドの成長方向が自然に流れ、気持ちが整い、落ち着いて動きやすくなる,感情と安心と成長方向が自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,月の感情とドラゴンヘッドの成長方向が自然に流れ、気持ちが整い、落ち着いて動きやすくなる
Moon,DragonHead,opposition,感情と安心と成長方向の対立,感情と安心と成長方向が向かい合い、不安定さが増え、気分が揺れやすい。,感情習慣を通じた成長課題の客観性,感情習慣を通じた成長課題の揺れ,Moonの性質を通じて、ドラゴンヘッドが示す未来志向を相手との関わりの中で映し出しやすくなります,Moonの力を通じて、ドラゴンヘッドが示す成長方向を対外関係や調整役の中で活かしやすくなります,相手に投影するだけでなく自分の中で統合すること。特にMoonの力を、慣れたやり方ではなく未来へ向かう形で伸ばしていくこと,月の感情とドラゴンヘッドの成長方向が引き裂かれるため、感情が揺れ、判断や行動が安定しにくくなる,感情と安心と成長方向が引き合い、迷いが続き、決断が遅れて機会を逃す。揺れを抱えながらも選択を積み上げる流れが生まれる。,TRUE,direction,high,0.7,0.05,0.95,月の感情とドラゴンヘッドの成長方向が引き裂かれるため、感情が揺れ、判断や行動が安定しにくくなる
Moon,DragonTail,sextile,感情と安心と慣れた癖の協調,感情と安心と慣れた癖が協力し、気持ちが落ち着きやすい。,感情習慣を通じた既得パターンの柔軟性,感情習慣を通じた既得パターンの甘さ,Moonの性質を通じて、ドラゴンテールが示す過去の癖をバランスよく周囲との関わりへ活かしやすくなります,Moonの力を通じて、ドラゴンテールが示す既得パターンを無理なく連携させ成果へ結びつけやすくなります,与えられた機会を待つだけでなく自ら活かしにいくこと。特にMoonの才能を惰性で使わず、不要な執着を手放しながら手放しながら活かすこと,月の感情とドラゴンテイルの慣れた癖が自然に流れ、安心が進み、動きが具体化しやすくなる,感情と安心と慣れた癖が協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,月の感情とドラゴンテイルの慣れた癖が自然に流れ、安心が進み、動きが具体化しやすくなる
Moon,DragonTail,square,感情と安心と慣れた癖の衝突,感情と安心と慣れた癖がぶつかり、不安定さが増え、気分が揺れやすい。,感情習慣を通じた既得パターンの成長力,感情習慣を通じた既得パターンの空回り,Moonの性質を通じて、ドラゴンテールが示す過去の癖の摩擦を通じて本音の関係を学びやすくなります,Moonの力を通じて、ドラゴンテールが示す既得パターンの緊張を課題突破のエネルギーへ変えやすくなります,衝突前に判断基準を言語化し、順序立てて動くこと,月の感情とドラゴンテイルの慣れた癖がぶつかるため、気分が揺れ、判断や行動が安定しにくくなる,感情と安心と慣れた癖がぶつかり、判断が遅れた後に焦って動き、衝突やミスを招く。摩擦を通じて判断力を磨く流れが生まれる。,TRUE,direction,high,0.7,0.05,0.95,月の感情とドラゴンテイルの慣れた癖がぶつかるため、気分が揺れ、判断や行動が安定しにくくなる
Moon,DragonTail,trine,感情と安心と慣れた癖の調和,感情と安心と慣れた癖が自然に調和し、安心感が保ちやすい。,感情習慣を通じた既得パターンの自然な流れ,感情習慣を通じた既得パターンの安住,Moonの性質を通じて、ドラゴンテールが示す過去の癖が自然体の魅力として周囲に伝わりやすくなります,Moonの力を通じて、ドラゴンテールが示す既得パターンをスムーズに循環させ成果へ繋げやすくなります,自然にできることを意識的に育て社会へ還元すること。特にMoonの才能を惰性で使わず、不要な執着を手放しながら手放しながら活かすこと,月の感情とドラゴンテイルの慣れた癖が自然に流れ、気持ちが整い、落ち着いて動きやすくなる,感情と安心と慣れた癖が自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,月の感情とドラゴンテイルの慣れた癖が自然に流れ、気持ちが整い、落ち着いて動きやすくなる
Moon,DragonTail,opposition,感情と安心と慣れた癖の対立,感情と安心と慣れた癖が向かい合い、不安定さが増え、気分が揺れやすい。,感情習慣を通じた既得パターンの客観性,感情習慣を通じた既得パターンの揺れ,Moonの性質を通じて、ドラゴンテールが示す過去の癖を相手との関わりの中で映し出しやすくなります,Moonの力を通じて、ドラゴンテールが示す既得パターンを対外関係や調整役の中で活かしやすくなります,相手に投影するだけでなく自分の中で統合すること。特にMoonの才能を惰性で使わず、不要な執着を手放しながら手放しながら活かすこと,月の感情とドラゴンテイルの慣れた癖が引き裂かれるため、感情が揺れ、判断や行動が安定しにくくなる,感情と安心と慣れた癖が引き合い、迷いが続き、決断が遅れて機会を逃す。揺れを抱えながらも選択を積み上げる流れが生まれる。,TRUE,direction,high,0.7,0.05,0.95,月の感情とドラゴンテイルの慣れた癖が引き裂かれるため、感情が揺れ、判断や行動が安定しにくくなる
Mercury,Venus,conjunction,思考と言葉と愛情と価値観の一体化,思考と言葉と愛情と価値観が一体化し、思考が強まり偏りやすい。,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,洗練された魅力的な言葉選びで対人関係を彩ります,社交性と魅力的な対話で良好な関係を築きます,思考の散漫を防ぐため一つのテーマを深掘りすること,水星の思考と金星の愛情が一体化し、偏りが止まり、柔軟に動きにくくなる,思考と言葉と愛情と価値観が一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,medium,0.6,0,0,水星の思考と金星の愛情が一体化し、偏りが止まり、柔軟に動きにくくなる
Mercury,Venus,sextile,思考と言葉と愛情と価値観の協調,思考と言葉と愛情と価値観が協力し、言葉が届きやすい。,補い合う工夫ができ、実務で形にする力として活きる,合わせすぎて主体性が弱まり、判断が遅れる,知性と愛情を調和させ周囲と心地よい対話を図ります,言葉を通じて調和のとれたネットワークを作ります,主体性を持ち自分の意見を明確に打ち出すこと,水星の思考と金星の愛情が自然に流れ、調整が進み、衝突やズレを小さくしやすくなる,思考と言葉と愛情と価値観が協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,水星の思考と金星の愛情が自然に流れ、調整が進み、衝突やズレを小さくしやすくなる
Mercury,Venus,square,思考と言葉と愛情と価値観の衝突,思考と言葉と愛情と価値観がぶつかり、考えが硬くなり、言葉が刺さりやすい。,客観的な分析による成長,焦って動き、衝突やミスを招く,批判的思考を交えつつ相手を深く知るプロセスを楽しみます,客観的な思考で意見の衝突を調整し成長します,知的な迷走を避け論理的な整合性を常に確認すること,水星の思考と金星の愛情がぶつかるため、判断が止まり、柔軟に動きにくくなる,思考と言葉と愛情と価値観がぶつかり、判断が遅れた後に焦って動き、衝突やミスを招く。摩擦を通じて判断力を磨く流れが生まれる。,TRUE,conflict,high,0.8,0,0,水星の思考と金星の愛情がぶつかるため、判断が止まり、柔軟に動きにくくなる
Mercury,Venus,trine,思考と言葉と愛情と価値観の調和,思考と言葉と愛情と価値観が自然に調和し、考えが通りやすい。,流れを掴んで自然に成果へつなげる力として活きる,流れに乗りすぎて詰めが甘くなり、成果が薄れる,芸術的な感性を言葉に乗せて周囲の美意識を刺激します,芸術的なセンスを活かし洗練された表現をします,表現の美しさだけでなく内容の充実に努めること,水星の思考と金星の愛情が自然に流れ、言葉が通る。,思考と言葉と愛情と価値観が自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,水星の思考と金星の愛情が自然に流れ、言葉が通る
Mercury,Venus,opposition,思考と言葉と愛情と価値観の対立,思考と言葉と愛情と価値観が向かい合い、考えが硬くなり、言葉が刺さりやすい。,両面を見渡して調整できるため、バランスを取る力として活きる,迷いが長引き、決めきれず機会を逃す,他者との対話を通じて自分の美的感覚を磨き上げます,他者との対話から美意識を磨き実務に活かします,論理を曖昧にせず明確な根拠を持って発言すること,水星の思考と金星の愛情が引き裂かれるため、言葉が刺さる。,思考と言葉と愛情と価値観が引き合い、迷いが続き、決断が遅れて機会を逃す。揺れを抱えながらも選択を積み上げる流れが生まれる。,TRUE,conflict,high,0.8,0,0,水星の思考と金星の愛情が引き裂かれるため、言葉が刺さる
Mercury,Mars,conjunction,思考と言葉と行動と衝動の一体化,思考と言葉と行動と衝動が一体化し、勢いが強まりブレーキが効きにくい。,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,素早い機転と言葉で周囲をリードし行動を促します,思考を即座に具体的な行動や議論へ繋げます,性急な判断を避け情報の真偽を慎重に見極めること,水星の思考と火星の行動が一体化し、偏りが止まり、柔軟に動きにくくなる,思考と言葉と行動と衝動が一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,medium,0.6,0,0,水星の思考と火星の行動が一体化し、偏りが止まり、柔軟に動きにくくなる
Mercury,Mars,sextile,思考と言葉と行動と衝動の協調,思考と言葉と行動と衝動が協力し、動き出しが軽くなりやすい。,補い合う工夫ができ、実務で形にする力として活きる,合わせすぎて主体性が弱まり、判断が遅れる,論理的で説得力のある意見を効果的に相手へ伝えます,自分の考えを効果的に周囲へ伝える力を発揮します,論争に勝つことよりも相互理解を深めることを選ぶこと,水星の思考と火星の行動が自然に流れ、調整が進み、衝突やズレを小さくしやすくなる,思考と言葉と行動と衝動が協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,水星の思考と火星の行動が自然に流れ、調整が進み、衝突やズレを小さくしやすくなる
Mercury,Mars,square,思考と言葉と行動と衝動の衝突,思考と言葉と行動と衝動がぶつかり、焦りや衝突が増えやすい。,緊張をバネにして、粘り強く課題を突破する力として活きる,焦って動き、衝突やミスを招く,慎重な言葉選びで着実かつ誠実な人間関係を築きます,論理的な詰めを学び性急な判断を避けて進めます,独断を避け周囲のアドバイスを柔軟に取り入れること,水星の思考と火星の行動がぶつかるため、判断が止まり、柔軟に動きにくくなる,思考と言葉と行動と衝動がぶつかり、判断が遅れた後に焦って動き、衝突やミスを招く。摩擦を通じて判断力を磨く流れが生まれる。,TRUE,conflict,high,0.8,0,0,水星の思考と火星の行動がぶつかるため、判断が止まり、柔軟に動きにくくなる
Mercury,Mars,trine,思考と言葉と行動と衝動の調和,思考と言葉と行動と衝動が調和する構造,鋭い知性と行動の連動,流れに乗りすぎて詰めが甘くなり、成果が薄れる,鋭い知性を活かして迅速かつ活発に情報交換します,鋭い知性と行動力を連動させ迅速にこなします,思考の暴走を抑え具体的な成果に繋がるよう制御すること,水星の思考と火星の行動が自然に流れ、言葉が通る。,思考と言葉と行動と衝動が自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,水星の思考と火星の行動が自然に流れ、言葉が通る
Mercury,Mars,opposition,思考と言葉と行動と衝動の対立,思考と言葉と行動と衝動が向かい合い、焦りや衝突が増えやすい。,議論による理論の深化,迷いが長引き、決めきれず機会を逃す,徹底した議論を通じてお互いの知性を高め合います,論争を通じて自分の意見を強固に洗練させます,言葉による攻撃を避け建設的な批判に留めること,水星の思考と火星の行動が引き裂かれるため、言葉が刺さる。,思考と言葉と行動と衝動が引き合い、迷いが続き、決断が遅れて機会を逃す。揺れを抱えながらも選択を積み上げる流れが生まれる。,TRUE,conflict,high,0.8,0,0,水星の思考と火星の行動が引き裂かれるため、言葉が刺さる
Mercury,Jupiter,conjunction,思考と言葉と拡大と楽観の一体化,思考と言葉と拡大と楽観が一体化し、思考が強まり偏りやすい。,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,広い知識と視点を持って他者に新しい気づきを与えます,広い知識欲を持ち多角的な視点で物事を捉えます,情報の過負荷を整理し本質的な知恵を抽出すること,水星の思考と木星の拡大が一体化し、偏りが止まり、柔軟に動きにくくなる,思考と言葉と拡大と楽観が一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,medium,0.6,0,0,水星の思考と木星の拡大が一体化し、偏りが止まり、柔軟に動きにくくなる
Mercury,Jupiter,sextile,思考と言葉と拡大と楽観の協調,思考と言葉と拡大と楽観が協力し、言葉が届きやすい。,補い合う工夫ができ、実務で形にする力として活きる,合わせすぎて主体性が弱まり、判断が遅れる,明るく有益な話題で周囲を活性化しネットワークを広げます,楽観的で有益な情報を引き寄せ活用します,楽観的な誤認を防ぐため厳密なデータを確認すること,水星の思考と木星の拡大が自然に流れ、調整が進み、衝突やズレを小さくしやすくなる,思考と言葉と拡大と楽観が協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,水星の思考と木星の拡大が自然に流れ、調整が進み、衝突やズレを小さくしやすくなる
Mercury,Jupiter,square,思考と言葉と拡大と楽観の衝突,思考と言葉と拡大と楽観がぶつかり、考えが硬くなり、言葉が刺さりやすい。,緊張をバネにして、粘り強く課題を突破する力として活きる,焦って動き、衝突やミスを招く,情報の整理や分析を助け周囲の知的な成長を支えます,情報の取捨選択を学び知性を磨きながら働きます,知的な偏食を避け幅広い分野の知識を吸収すること,水星の思考と木星の拡大がぶつかるため、判断が止まり、柔軟に動きにくくなる,思考と言葉と拡大と楽観がぶつかり、判断が遅れた後に焦って動き、衝突やミスを招く。摩擦を通じて判断力を磨く流れが生まれる。,TRUE,conflict,high,0.8,0,0,水星の思考と木星の拡大がぶつかるため、判断が止まり、柔軟に動きにくくなる
